pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0453,11.0473,11.0463,926,EUR/SEK Spot,11.0463,11.0453,11.0473
USD/SEK,USD,SEK,1,9.6845,9.6863,9.6854,150,USD/SEK Spot,9.6854,9.6845,9.6863
GBP/SEK,GBP,SEK,1,12.7907,12.8007,12.7957,72825,GBP/SEK Spot,12.7957,12.7907,12.8007
JPY/SEK,JPY,SEK,1,5.994,6.004,5.999,117083,JPY/SEK Spot,5.999,5.994,6.004
CHF/SEK,CHF,SEK,1,11.9472,11.9572,11.9522,72829,CHF/SEK Spot,11.9522,11.9472,11.9572
NOK/SEK,NOK,SEK,1,0.9939,0.9949,0.9944,72828,NOK/SEK Spot,0.9944,0.9939,0.9949
DKK/SEK,DKK,SEK,1,1.4767,1.4777,1.4772,72826,DKK/SEK Spot,1.4772,1.4767,1.4777
CAD/SEK,CAD,SEK,1,6.8211,6.8311,6.8261,51623,CAD/SEK Spot,6.8261,6.8211,6.8311
AUD/SEK,AUD,SEK,1,6.7311,6.7321,6.7316,117438,AUD/SEK Spot,6.7316,6.7311,6.7321
NZD/SEK,NZD,SEK,1,5.5088,5.5098,5.5093,117521,NZD/SEK Spot,5.5093,5.5088,5.5098
