country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6611,6.7597,2026-06-29
Danmark,Dansk krona,DKK,1.4735,1.4954,2026-06-29
Euro,Euro,EUR,11.0153,11.1778,2026-06-29
Hong Kong,Hongkong dollar,HKD,1.2259,1.2571,2026-06-29
Indien,Indisk rupie,INR,0.1004,0.1057,2026-06-29
Japan,Japanskt yen,JPY,0.0597,0.0606,2026-06-29
Kanada,Kanadensisk dollar,CAD,6.8082,6.9092,2026-06-29
Kina,Kinesisk yuan,CNY,1.4137,1.4525,2026-06-29
Mexiko,Mexikansk peso,MXN,0.5494,0.5637,2026-06-29
Norge,Norsk krona,NOK,0.9733,0.9878,2026-06-29
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4598,5.5414,2026-06-29
Polen,Polsk zloty,PLN,2.5676,2.6066,2026-06-29
Schweiz,Schweizisk franc,CHF,11.9471,12.1239,2026-06-29
Singapore,Singaporiansk dollar,SGD,7.4697,7.5807,2026-06-29
Storbritannien,Brittiskt pund,GBP,12.7658,12.9556,2026-06-29
Sydafrika,Sydafrikansk rand,ZAR,0.5844,0.5995,2026-06-29
Thailand,Thailänsk bath,THB,0.2887,0.2965,2026-06-29
Tjeckien,Tjeckisk krona,CZK,0.4538,0.4607,2026-06-29
Turkiet,Turkisk lira,TRY,0.2056,0.211,2026-06-29
Ungern,Ungersk forint,HUF,0.0309,0.0317,2026-06-29
USA,Amerikansk dollar,USD,9.6657,9.8087,2026-06-29
