pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.6832,6.7718,AUD,Australiensiska dollar,6.6832,6.7718,6.7275,11:59:59
BRL/SEK,BRL,SEK,1,1.8296,1.9304,BRL,Brasilianska real,1.8296,1.9304,1.8800,11:59:59
CAD/SEK,CAD,SEK,1,6.77500,6.86330,CAD,Kanadensiska dollar,6.77500,6.86330,6.81915,11:59:59
CHF/SEK,CHF,SEK,1,11.8717,12.0109,CHF,Schweiziska franc,11.8717,12.0109,11.9413,11:59:59
CNY/SEK,CNY,SEK,1,1.41030,1.44100,CNY,Kinesiska yuan,1.41030,1.44100,1.42565,11:59:59
CZK/SEK,CZK,SEK,1,0.451400,0.460710,CZK,Tjeckiska koruna,0.451400,0.460710,0.456055,11:59:59
DKK/SEK,DKK,SEK,1,1.46790,1.48460,DKK,Danska kronor,1.46790,1.48460,1.47625,11:59:59
EUR/SEK,EUR,SEK,1,10.9679,11.1015,EUR,Euro,10.9679,11.1015,11.0347,11:59:59
GBP/SEK,GBP,SEK,1,12.72070,12.86700,GBP,Pound sterling,12.72070,12.86700,12.79385,11:59:59
HKD/SEK,HKD,SEK,1,1.2212,1.2458,HKD,Hong Kong dollar,1.2212,1.2458,1.2335,11:59:59
HUF/SEK,HUF,SEK,1,0.0306770,0.0317060,HUF,Ungerska forint,0.0306770,0.0317060,0.0311915,11:59:59
ILS/SEK,ILS,SEK,1,3.1529,3.3115,ILS,Israelska new shekel,3.1529,3.3115,3.2322,11:59:59
INR/SEK,INR,SEK,1,0.098740,0.105390,INR,Indiska rupees,0.098740,0.105390,0.102065,11:59:59
JPY/SEK,JPY,SEK,1,0.059403,0.060437,JPY,Japanska yen,0.059403,0.060437,0.059920,11:59:59
NOK/SEK,NOK,SEK,1,0.9862,1.0010,NOK,Norska kronor,0.9862,1.0010,0.9936,11:59:59
NZD/SEK,NZD,SEK,1,5.46050,5.54960,NZD,Nya Zeeländska dollar,5.46050,5.54960,5.50505,11:59:59
PLN/SEK,PLN,SEK,1,2.5464,2.6082,PLN,Polska zloty,2.5464,2.6082,2.5773,11:59:59
SGD/SEK,SGD,SEK,1,7.4272,7.5106,SGD,Singapore dollar,7.4272,7.5106,7.4689,11:59:59
THB/SEK,THB,SEK,1,0.285210,0.298440,THB,Thailändska baht,0.285210,0.298440,0.291825,11:59:59
TRY/SEK,TRY,SEK,1,0.18999,0.22611,TRY,Turkiska lira,0.18999,0.22611,0.20805,11:59:59
USD/SEK,USD,SEK,1,9.60350,9.73700,USD,Amerikanska dollar,9.60350,9.73700,9.67025,11:59:59
ZAR/SEK,ZAR,SEK,1,0.577180,0.597630,ZAR,Sydafrikanska rand,0.577180,0.597630,0.587405,11:59:59
