updated,country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,change,settlement_price,unit,buy_rate_per_unit,sell_rate_per_unit
13.07.2026 09:01,Norge,NOK/SEK,NOK,SEK,100,0.9833,0.9973000000000001,98.33,99.73,0.03,99.03,100.0,0.9833,0.9973000000000001
13.07.2026 09:01,USA,USD/SEK,USD,SEK,1,9.6368,9.7428,9.6368,9.7428,0.0445,9.6898,1.0,9.6368,9.7428
13.07.2026 09:01,Europeiska unionen,EUR/SEK,EUR,SEK,1,10.986,11.111,10.986,11.111,0.0114,11.0485,1.0,10.986,11.111
13.07.2026 09:01,Danmark,DKK/SEK,DKK,SEK,100,1.4707,1.4857,147.07,148.57,0.16,147.82,100.0,1.4707,1.4857
13.07.2026 09:01,Storbritannien,GBP/SEK,GBP,SEK,1,12.8923,13.0383,12.8923,13.0383,0.0131,12.9653,1.0,12.8923,13.0383
13.07.2026 09:01,Schweiz,CHF/SEK,CHF,SEK,100,11.9155,12.0275,1191.55,1202.75,-0.9,1197.15,100.0,11.9155,12.0275
13.07.2026 09:01,Japan,JPY/SEK,JPY,SEK,100,0.059209,0.060209,5.9209,6.0209,0.0008,5.9709,100.0,0.059209,0.060209
13.07.2026 09:01,Arabemirater,AED/SEK,AED,SEK,1,2.6174,2.6614,2.6174,2.6614,0.0124,2.6394,1.0,2.6174,2.6614
13.07.2026 09:01,Australien,AUD/SEK,AUD,SEK,1,6.6725,6.7575,6.6725,6.7575,0.0096,6.715,1.0,6.6725,6.7575
13.07.2026 09:01,Bahrain,BHD/SEK,BHD,SEK,1,25.5332,25.9332,25.5332,25.9332,0.1182,25.7332,1.0,25.5332,25.9332
13.07.2026 09:01,Botswana,BWP/SEK,BWP,SEK,1,0.7423,0.7723,0.7423,0.7723,0.0035,0.7573,1.0,0.7423,0.7723
13.07.2026 09:01,Filippinerna,PHP/SEK,PHP,SEK,100,0.1549,0.1603,15.49,16.03,0.06,15.76,100.0,0.1549,0.1603
13.07.2026 09:01,Hong Kong,HKD/SEK,HKD,SEK,1,1.2239,1.2479,1.2239,1.2479,0.0052,1.2359,1.0,1.2239,1.2479
13.07.2026 09:01,Indien,INR/SEK,INR,SEK,1,0.099,0.1034,0.099,0.1034,0.0,0.1012,1.0,0.099,0.1034
13.07.2026 09:01,Indonesien,IDR/SEK,IDR,SEK,100,0.000524,0.000548,0.0524,0.0548,0.0001,0.0536,100.0,0.000524,0.000548
13.07.2026 09:01,Island,ISK/SEK,ISK,SEK,100,0.076056,0.078656,7.6056,7.8656,0.0394,7.7356,100.0,0.076056,0.078656
13.07.2026 09:01,Israel,ILS/SEK,ILS,SEK,1,3.1822,3.2422,3.1822,3.2422,0.0035,3.2122,1.0,3.1822,3.2422
13.07.2026 09:01,Kanada,CAD/SEK,CAD,SEK,1,6.7989,6.8889,6.7989,6.8889,0.0307,6.8439,1.0,6.7989,6.8889
13.07.2026 09:01,Kenya,KES/SEK,KES,SEK,100,0.07394,0.07694,7.394,7.694,0.0346,7.544,100.0,0.07394,0.07694
13.07.2026 09:01,Kina,CNH/SEK,CNH,SEK,100,1.4128,1.4428,141.28,144.28,0.58,142.78,100.0,1.4128,1.4428
13.07.2026 09:01,Kina,CNY/SEK,CNY,SEK,100,1.4143000000000001,1.4443000000000001,141.43,144.43,0.6,142.93,100.0,1.4143000000000001,1.4443000000000001
13.07.2026 09:01,Kuwait,KWD/SEK,KWD,SEK,1,31.339,31.839,31.339,31.839,0.1451,31.589,1.0,31.339,31.839
13.07.2026 09:01,Marocko,MAD/SEK,MAD,SEK,100,1.0184,1.0624,101.84,106.24,0.48,104.04,100.0,1.0184,1.0624
13.07.2026 09:01,Mexiko,MXN/SEK,MXN,SEK,100,0.5464,0.5604,54.64,56.04,0.22,55.34,100.0,0.5464,0.5604
13.07.2026 09:01,Nya Zeeland,NZD/SEK,NZD,SEK,1,5.5423,5.6243,5.5423,5.6243,0.0152,5.5833,1.0,5.5423,5.6243
13.07.2026 09:01,Oman,OMR/SEK,OMR,SEK,1,25.0,25.4,25.0,25.4,0.11,25.2,1.0,25.0,25.4
13.07.2026 09:01,Pakistan,PKR/SEK,PKR,SEK,1,0.0341,0.0357,0.0341,0.0357,0.0001,0.0349,1.0,0.0341,0.0357
13.07.2026 09:01,Polen,PLN/SEK,PLN,SEK,100,2.5268,2.5718,252.68,257.18,0.19,254.93,100.0,2.5268,2.5718
13.07.2026 09:01,Qatar,QAR/SEK,QAR,SEK,1,2.638,2.682,2.638,2.682,0.0108,2.66,1.0,2.638,2.682
13.07.2026 09:01,Rum‰nien,RON/SEK,RON,SEK,100,2.0885,2.1405000000000003,208.85,214.05,0.28,211.45,100.0,2.0885,2.1405000000000003
13.07.2026 09:01,Saudiarabien,SAR/SEK,SAR,SEK,1,2.5613,2.6013,2.5613,2.6013,0.0116,2.5813,1.0,2.5613,2.6013
13.07.2026 09:01,Singapore,SGD/SEK,SGD,SEK,1,7.4446,7.5286,7.4446,7.5286,0.0132,7.4866,1.0,7.4446,7.5286
13.07.2026 09:01,Sri Lanka,LKR/SEK,LKR,SEK,100,0.0281,0.0297,2.81,2.97,0.01,2.89,100.0,0.0281,0.0297
13.07.2026 09:01,Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5775,0.6035,0.5775,0.6035,-0.0018,0.5905,1.0,0.5775,0.6035
13.07.2026 09:01,Sydkorea,KRW/SEK,KRW,SEK,100,0.0063549999999999995,0.006555,0.6355,0.6555,0.0037,0.6455,100.0,0.0063549999999999995,0.006555
13.07.2026 09:01,Tanzania,TZS/SEK,TZS,SEK,100,0.00364,0.00378,0.364,0.378,0.0011,0.371,100.0,0.00364,0.00378
13.07.2026 09:01,Thailand,THB/SEK,THB,SEK,100,0.2868,0.2938,28.68,29.38,0.08,29.03,100.0,0.2868,0.2938
13.07.2026 09:01,Tjeckien,CZK/SEK,CZK,SEK,100,0.452,0.4586,45.2,45.86,0.02,45.53,100.0,0.452,0.4586
13.07.2026 09:01,Tunisien,TND/SEK,TND,SEK,1,3.2841,3.3841,3.2841,3.3841,0.0293,3.3341,1.0,3.2841,3.3841
13.07.2026 09:01,Turkiet,TRY/SEK,TRY,SEK,100,0.20120000000000002,0.2112,20.12,21.12,0.08,20.62,100.0,0.20120000000000002,0.2112
13.07.2026 09:01,Ungern,HUF/SEK,HUF,SEK,100,0.030555,0.031255000000000005,3.0555,3.1255,-0.008,3.0905,100.0,0.030555,0.031255000000000005
