pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.5807,2.6516,2.6516,2.5807,2026-07-16T09:22:08.669274Z,2026-07-16T09:22:08.669274Z
AUD/SEK,AUD,SEK,1,6.6604,6.7923,6.7923,6.6604,2026-07-16T08:56:26.832448Z,2026-07-16T08:56:26.832448Z
BDT/SEK,BDT,SEK,1,0.075336,0.080734,0.080734,0.075336,2026-07-16T09:22:08.671052Z,2026-07-16T09:22:08.671052Z
BHD/SEK,BHD,SEK,1,25.1398,25.8333,25.8333,25.1398,2026-07-16T09:22:08.681756Z,2026-07-16T09:22:08.681756Z
CAD/SEK,CAD,SEK,1,6.7788,6.913,6.913,6.7788,2026-07-16T08:56:26.830198Z,2026-07-16T08:56:26.830198Z
CHF/SEK,CHF,SEK,1,11.7943,12.028,12.028,11.7943,2026-07-16T08:56:26.831786Z,2026-07-16T08:56:26.831786Z
CNH/SEK,CNH,SEK,1,1.4008,1.4393,1.4393,1.4008,2026-07-16T08:56:26.825696Z,2026-07-16T08:56:26.825696Z
CNY/SEK,CNY,SEK,1,1.39097,1.44872,1.44872,1.39097,2026-07-16T09:22:08.669065Z,2026-07-16T09:22:08.669065Z
CZK/SEK,CZK,SEK,1,0.45087,0.45997,0.45997,0.45087,2026-07-16T08:56:26.832550Z,2026-07-16T08:56:26.832550Z
DKK/SEK,DKK,SEK,1,1.45983,1.48878,1.48878,1.45983,2026-07-16T08:56:26.826298Z,2026-07-16T08:56:26.826298Z
EGP/SEK,EGP,SEK,1,0.1843,0.196,0.196,0.1843,2026-07-16T09:22:08.668093Z,2026-07-16T09:22:08.668093Z
EUR/SEK,EUR,SEK,1,10.913,11.1295,11.1295,10.913,2026-07-16T08:10:40.485427Z,2026-07-16T08:10:40.485427Z
GBP/SEK,GBP,SEK,1,12.8709,13.1256,13.1256,12.8709,2026-07-16T08:56:26.832559Z,2026-07-16T08:56:26.832559Z
GIP/SEK,GIP,SEK,1,12.854306,13.123856,13.123856,12.854306,2026-07-16T09:22:08.724989Z,2026-07-16T09:22:08.724989Z
HKD/SEK,HKD,SEK,1,1.20906,1.24226,1.24226,1.20906,2026-07-16T09:22:08.695414Z,2026-07-16T09:22:08.695414Z
HUF/SEK,HUF,SEK,1,0.030349,0.030962,0.030962,0.030349,2026-07-16T08:56:26.832807Z,2026-07-16T08:56:26.832807Z
IDR/SEK,IDR,SEK,1,0.0005234,0.0005451,0.0005451,0.0005234,2026-07-16T09:22:08.693406Z,2026-07-16T09:22:08.693406Z
ILS/SEK,ILS,SEK,1,3.1613,3.2493,3.2493,3.1613,2026-07-16T09:22:08.682583Z,2026-07-16T09:22:08.682583Z
INR/SEK,INR,SEK,1,0.09777,0.10178,0.10178,0.09777,2026-07-16T09:22:08.680943Z,2026-07-16T09:22:08.680943Z
ISK/SEK,ISK,SEK,1,0.0753,0.0785,0.0785,0.0753,2026-07-16T09:22:08.669798Z,2026-07-16T09:22:08.669798Z
JPY/SEK,JPY,SEK,1,0.058695,0.059857,0.059857,0.058695,2026-07-16T08:56:26.835517Z,2026-07-16T08:56:26.835517Z
KES/SEK,KES,SEK,1,0.0728,0.0759,0.0759,0.0728,2026-07-16T09:22:08.687081Z,2026-07-16T09:22:08.687081Z
KRW/SEK,KRW,SEK,1,0.006374,0.00661,0.00661,0.006374,2026-07-16T09:22:08.699342Z,2026-07-16T09:22:08.699342Z
KWD/SEK,KWD,SEK,1,30.6493,31.5415,31.5415,30.6493,2026-07-16T09:22:08.683420Z,2026-07-16T09:22:08.683420Z
KZT/SEK,KZT,SEK,1,0.019922,0.020747,0.020747,0.019922,2026-07-16T09:22:08.669419Z,2026-07-16T09:22:08.669419Z
LKR/SEK,LKR,SEK,1,0.027714,0.029457,0.029457,0.027714,2026-07-16T09:22:08.728817Z,2026-07-16T09:22:08.728817Z
MAD/SEK,MAD,SEK,1,1.0108,1.0527,1.0527,1.0108,2026-07-16T09:22:08.692581Z,2026-07-16T09:22:08.692581Z
MXN/SEK,MXN,SEK,1,0.54452,0.5595,0.5595,0.54452,2026-07-16T08:56:26.829348Z,2026-07-16T08:56:26.829348Z
MYR/SEK,MYR,SEK,1,2.3334,2.3845,2.3845,2.3334,2026-07-16T09:22:08.687826Z,2026-07-16T09:22:08.687826Z
NOK/SEK,NOK,SEK,1,0.98368,1.00319,1.00319,0.98368,2026-07-16T08:56:26.830388Z,2026-07-16T08:56:26.830388Z
NZD/SEK,NZD,SEK,1,5.5672,5.6777,5.6777,5.5672,2026-07-16T08:56:26.826420Z,2026-07-16T08:56:26.826420Z
PEN/SEK,PEN,SEK,1,2.780951,2.897173,2.897173,2.780951,2026-07-16T09:22:08.691876Z,2026-07-16T09:22:08.691876Z
PHP/SEK,PHP,SEK,1,0.1527,0.1591,0.1591,0.1527,2026-07-16T09:22:08.694086Z,2026-07-16T09:22:08.694086Z
PKR/SEK,PKR,SEK,1,0.0335,0.0356,0.0356,0.0335,2026-07-16T09:22:08.700436Z,2026-07-16T09:22:08.700436Z
PLN/SEK,PLN,SEK,1,2.5224,2.57257,2.57257,2.5224,2026-07-16T08:56:26.833891Z,2026-07-16T08:56:26.833891Z
QAR/SEK,QAR,SEK,1,2.5827,2.6889,2.6889,2.5827,2026-07-16T09:22:08.719839Z,2026-07-16T09:22:08.719839Z
RON/SEK,RON,SEK,1,2.0811,2.1229,2.1229,2.0811,2026-07-16T09:22:08.670203Z,2026-07-16T09:22:08.670203Z
RSD/SEK,RSD,SEK,1,0.091881,0.095844,0.095844,0.091881,2026-07-16T09:22:08.668329Z,2026-07-16T09:22:08.668329Z
SAR/SEK,SAR,SEK,1,2.5247,2.5944,2.5944,2.5247,2026-07-16T08:56:26.829861Z,2026-07-16T08:56:26.829861Z
SGD/SEK,SGD,SEK,1,7.3861,7.5323,7.5323,7.3861,2026-07-16T08:56:26.826007Z,2026-07-16T08:56:26.826007Z
THB/SEK,THB,SEK,1,0.28259,0.29037,0.29037,0.28259,2026-07-16T09:22:08.684209Z,2026-07-16T09:22:08.684209Z
TND/SEK,TND,SEK,1,3.189,3.3341,3.3341,3.189,2026-07-16T09:22:08.683414Z,2026-07-16T09:22:08.683414Z
TRY/SEK,TRY,SEK,1,0.1998,0.208,0.208,0.1998,2026-07-16T08:56:26.826098Z,2026-07-16T08:56:26.826098Z
USD/SEK,USD,SEK,1,9.5188,9.7069,9.7069,9.5188,2026-07-16T08:56:26.829795Z,2026-07-16T08:56:26.829795Z
ZAR/SEK,ZAR,SEK,1,0.58213,0.59436,0.59436,0.58213,2026-07-16T08:56:26.826345Z,2026-07-16T08:56:26.826345Z
