country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6676,6.7684,2026-06-19
Danmark,Dansk krona,DKK,1.458,1.4799,2026-06-19
Euro,Euro,EUR,10.8976,11.0616,2026-06-19
Hong Kong,Hongkong dollar,HKD,1.2064,1.2376,2026-06-19
Indien,Indisk rupie,INR,0.0989,0.1042,2026-06-19
Japan,Japanskt yen,JPY,0.0589,0.0598,2026-06-19
Kanada,Kanadensisk dollar,CAD,6.7211,6.8229,2026-06-19
Kina,Kinesisk yuan,CNY,1.396,1.4345,2026-06-19
Mexiko,Mexikansk peso,MXN,0.5448,0.5591,2026-06-19
Norge,Norsk krona,NOK,0.9803,0.9956,2026-06-19
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4575,5.5407,2026-06-19
Polen,Polsk zloty,PLN,2.5559,2.596,2026-06-19
Schweiz,Schweizisk franc,CHF,11.7891,11.967,2026-06-19
Singapore,Singaporiansk dollar,SGD,7.3629,7.4743,2026-06-19
Storbritannien,Brittiskt pund,GBP,12.5814,12.7718,2026-06-19
Sydafrika,Sydafrikansk rand,ZAR,0.5734,0.5885,2026-06-19
Thailand,Thailänsk bath,THB,0.2876,0.2954,2026-06-19
Tjeckien,Tjeckisk krona,CZK,0.4498,0.4567,2026-06-19
Turkiet,Turkisk lira,TRY,0.2034,0.2088,2026-06-19
Ungern,Ungersk forint,HUF,0.0307,0.0315,2026-06-19
USA,Amerikansk dollar,USD,9.5077,9.6511,2026-06-19
