pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.8232,10.8258,10.8245,926,EUR/SEK Spot,10.8245,10.8232,10.8258
USD/SEK,USD,SEK,1,9.3086,9.3118,9.3102,150,USD/SEK Spot,9.3102,9.3086,9.3118
GBP/SEK,GBP,SEK,1,12.5227,12.5327,12.5277,72825,GBP/SEK Spot,12.5277,12.5227,12.5327
JPY/SEK,JPY,SEK,1,5.827,5.837,5.832,117083,JPY/SEK Spot,5.832,5.827,5.837
CHF/SEK,CHF,SEK,1,11.8305,11.8405,11.8355,72829,CHF/SEK Spot,11.8355,11.8305,11.8405
NOK/SEK,NOK,SEK,1,1.0018,1.0028,1.0023,72828,NOK/SEK Spot,1.0023,1.0018,1.0028
DKK/SEK,DKK,SEK,1,1.4479,1.4489,1.4484,72826,DKK/SEK Spot,1.4484,1.4479,1.4489
CAD/SEK,CAD,SEK,1,6.7262,6.7362,6.7312,51623,CAD/SEK Spot,6.7312,6.7262,6.7362
AUD/SEK,AUD,SEK,1,6.6639,6.6649,6.6644,117438,AUD/SEK Spot,6.6644,6.6639,6.6649
NZD/SEK,NZD,SEK,1,5.5239,5.5249,5.5244,117521,NZD/SEK Spot,5.5244,5.5239,5.5249
