country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.5732,6.6707,2026-06-17
Danmark,Dansk krona,DKK,1.4448,1.4663,2026-06-17
Euro,Euro,EUR,10.8007,10.9601,2026-06-17
Hong Kong,Hongkong dollar,HKD,1.1815,1.2118,2026-06-17
Indien,Indisk rupie,INR,0.0966,0.1017,2026-06-17
Japan,Japanskt yen,JPY,0.0581,0.059,2026-06-17
Kanada,Kanadensisk dollar,CAD,6.6484,6.747,2026-06-17
Kina,Kinesisk yuan,CNY,1.3689,1.4062,2026-06-17
Mexiko,Mexikansk peso,MXN,0.5376,0.5515,2026-06-17
Norge,Norsk krona,NOK,0.9811,0.9958,2026-06-17
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4129,5.4936,2026-06-17
Polen,Polsk zloty,PLN,2.5469,2.5862,2026-06-17
Schweiz,Schweizisk franc,CHF,11.7582,11.9322,2026-06-17
Singapore,Singaporiansk dollar,SGD,7.2562,7.3639,2026-06-17
Storbritannien,Brittiskt pund,GBP,12.4878,12.673,2026-06-17
Sydafrika,Sydafrikansk rand,ZAR,0.571,0.5857,2026-06-17
Thailand,Thailänsk bath,THB,0.284,0.2917,2026-06-17
Tjeckien,Tjeckisk krona,CZK,0.447,0.4538,2026-06-17
Turkiet,Turkisk lira,TRY,0.1992,0.2044,2026-06-17
Ungern,Ungersk forint,HUF,0.0307,0.0315,2026-06-17
USA,Amerikansk dollar,USD,9.3077,9.4453,2026-06-17
