pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0388,11.0419,11.0403,926,EUR/SEK Spot,11.0403,11.0388,11.0419
USD/SEK,USD,SEK,1,9.6485,9.6509,9.6496,150,USD/SEK Spot,9.6496,9.6485,9.6509
GBP/SEK,GBP,SEK,1,12.8763,12.8863,12.8813,72825,GBP/SEK Spot,12.8813,12.8763,12.8863
JPY/SEK,JPY,SEK,1,5.983,5.993,5.988,117083,JPY/SEK Spot,5.988,5.983,5.993
CHF/SEK,CHF,SEK,1,12.0056,12.0156,12.0106,72829,CHF/SEK Spot,12.0106,12.0056,12.0156
NOK/SEK,NOK,SEK,1,0.9814,0.9824,0.9819,72828,NOK/SEK Spot,0.9819,0.9814,0.9824
DKK/SEK,DKK,SEK,1,1.4762,1.4772,1.4767,72826,DKK/SEK Spot,1.4767,1.4762,1.4772
CAD/SEK,CAD,SEK,1,6.7954,6.8054,6.8004,51623,CAD/SEK Spot,6.8004,6.7954,6.8054
AUD/SEK,AUD,SEK,1,6.6911,6.6921,6.6916,117438,AUD/SEK Spot,6.6916,6.6911,6.6921
NZD/SEK,NZD,SEK,1,5.5107,5.5117,5.5112,117521,NZD/SEK Spot,5.5112,5.5107,5.5117
