country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6051,6.703,2026-06-09
Danmark,Dansk krona,DKK,1.4463,1.4677,2026-06-09
Euro,Euro,EUR,10.8099,10.9694,2026-06-09
Hong Kong,Hongkong dollar,HKD,1.189,1.2194,2026-06-09
Indien,Indisk rupie,INR,0.0962,0.1013,2026-06-09
Japan,Japanskt yen,JPY,0.0585,0.0593,2026-06-09
Kanada,Kanadensisk dollar,CAD,6.7209,6.8205,2026-06-09
Kina,Kinesisk yuan,CNY,1.3749,1.4122,2026-06-09
Mexiko,Mexikansk peso,MXN,0.535,0.5489,2026-06-09
Norge,Norsk krona,NOK,0.9872,1.0019,2026-06-09
Nya Zeeland,Nyzeeländsk dollar,NZD,5.457,5.5385,2026-06-09
Polen,Polsk zloty,PLN,2.5496,2.5887,2026-06-09
Schweiz,Schweizisk franc,CHF,11.7528,11.9271,2026-06-09
Singapore,Singaporiansk dollar,SGD,7.2807,7.3887,2026-06-09
Storbritannien,Brittiskt pund,GBP,12.5224,12.7085,2026-06-09
Sydafrika,Sydafrikansk rand,ZAR,0.5662,0.5809,2026-06-09
Thailand,Thailänsk bath,THB,0.2833,0.2909,2026-06-09
Tjeckien,Tjeckisk krona,CZK,0.4466,0.4534,2026-06-09
Turkiet,Turkisk lira,TRY,0.2018,0.2072,2026-06-09
Ungern,Ungersk forint,HUF,0.0303,0.031,2026-06-09
USA,Amerikansk dollar,USD,9.3683,9.5068,2026-06-09
