country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6486,6.7473,2026-06-26
Danmark,Dansk krona,DKK,1.4708,1.4925,2026-06-26
Euro,Euro,EUR,10.9937,11.1559,2026-06-26
Hong Kong,Hongkong dollar,HKD,1.2231,1.2543,2026-06-26
Indien,Indisk rupie,INR,0.1003,0.1055,2026-06-26
Japan,Japanskt yen,JPY,0.0597,0.0606,2026-06-26
Kanada,Kanadensisk dollar,CAD,6.7973,6.898,2026-06-26
Kina,Kinesisk yuan,CNY,1.4093,1.4479,2026-06-26
Mexiko,Mexikansk peso,MXN,0.547,0.561,2026-06-26
Norge,Norsk krona,NOK,0.9744,0.9889,2026-06-26
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4479,5.5292,2026-06-26
Polen,Polsk zloty,PLN,2.5644,2.6028,2026-06-26
Schweiz,Schweizisk franc,CHF,11.928,12.1048,2026-06-26
Singapore,Singaporiansk dollar,SGD,7.4509,7.5613,2026-06-26
Storbritannien,Brittiskt pund,GBP,12.7441,12.9334,2026-06-26
Sydafrika,Sydafrikansk rand,ZAR,0.5826,0.5977,2026-06-26
Thailand,Thailänsk bath,THB,0.2871,0.2948,2026-06-26
Tjeckien,Tjeckisk krona,CZK,0.4531,0.4599,2026-06-26
Turkiet,Turkisk lira,TRY,0.2053,0.2107,2026-06-26
Ungern,Ungersk forint,HUF,0.0309,0.0317,2026-06-26
USA,Amerikansk dollar,USD,9.6432,9.7858,2026-06-26
