pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.9219,10.925,10.9234,926,EUR/SEK Spot,10.9234,10.9219,10.925
USD/SEK,USD,SEK,1,9.4375,9.4404,9.4389,150,USD/SEK Spot,9.4389,9.4375,9.4404
GBP/SEK,GBP,SEK,1,12.6529,12.6629,12.6579,72825,GBP/SEK Spot,12.6579,12.6529,12.6629
JPY/SEK,JPY,SEK,1,5.888,5.898,5.893,117083,JPY/SEK Spot,5.893,5.888,5.898
CHF/SEK,CHF,SEK,1,11.8446,11.8546,11.8496,72829,CHF/SEK Spot,11.8496,11.8446,11.8546
NOK/SEK,NOK,SEK,1,0.9893,0.9903,0.9898,72828,NOK/SEK Spot,0.9898,0.9893,0.9903
DKK/SEK,DKK,SEK,1,1.4609,1.4619,1.4614,72826,DKK/SEK Spot,1.4614,1.4609,1.4619
CAD/SEK,CAD,SEK,1,6.7414,6.7514,6.7464,51623,CAD/SEK Spot,6.7464,6.7414,6.7514
AUD/SEK,AUD,SEK,1,6.642,6.643,6.6425,117438,AUD/SEK Spot,6.6425,6.642,6.643
NZD/SEK,NZD,SEK,1,5.5,5.501,5.5005,117521,NZD/SEK Spot,5.5005,5.5,5.501
