country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6438,6.7914,2026-06-26
Danmark,Dansk krona,DKK,1.4692,1.4989,2026-06-26
Euro,Euro,EUR,10.9817,11.2031,2026-06-26
Hong Kong,Hongkong dollar,HKD,1.2233,1.2622,2026-06-26
Indien,Indisk rupie,INR,0.1003,0.1062,2026-06-26
Japan,Japanskt yen,JPY,0.0596,0.0609,2026-06-26
Kanada,Kanadensisk dollar,CAD,6.7927,6.939,2026-06-26
Kina,Kinesisk yuan,CNY,1.4093,1.457,2026-06-26
Mexiko,Mexikansk peso,MXN,0.5478,0.5658,2026-06-26
Norge,Norsk krona,NOK,0.9685,0.9934,2026-06-26
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4329,5.5582,2026-06-26
Polen,Polsk zloty,PLN,2.5583,2.6147,2026-06-26
Schweiz,Schweizisk franc,CHF,11.9018,12.1648,2026-06-26
Singapore,Singaporiansk dollar,SGD,7.4435,7.6142,2026-06-26
Storbritannien,Brittiskt pund,GBP,12.7201,13.0148,2026-06-26
Sydafrika,Sydafrikansk rand,ZAR,0.5807,0.6035,2026-06-26
Thailand,Thailänsk bath,THB,0.2866,0.2972,2026-06-26
Tjeckien,Tjeckisk krona,CZK,0.4521,0.4624,2026-06-26
Turkiet,Turkisk lira,TRY,0.2052,0.2126,2026-06-26
Ungern,Ungersk forint,HUF,0.0308,0.0319,2026-06-26
USA,Amerikansk dollar,USD,9.6456,9.8456,2026-06-26
