country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6596,6.7582,2026-08-04
Danmark,Dansk krona,DKK,1.4613,1.483,2026-08-04
Euro,Euro,EUR,10.9239,11.0851,2026-08-04
Hong Kong,Hongkong dollar,HKD,1.2037,1.2344,2026-08-04
Indien,Indisk rupie,INR,0.0977,0.1028,2026-08-04
Japan,Japanskt yen,JPY,0.0601,0.061,2026-08-04
Kanada,Kanadensisk dollar,CAD,6.7543,6.8543,2026-08-04
Kina,Kinesisk yuan,CNY,1.3964,1.4348,2026-08-04
Mexiko,Mexikansk peso,MXN,0.5455,0.5596,2026-08-04
Norge,Norsk krona,NOK,0.9957,1.0106,2026-08-04
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5702,5.6534,2026-08-04
Polen,Polsk zloty,PLN,2.5341,2.5722,2026-08-04
Schweiz,Schweizisk franc,CHF,11.7128,11.8862,2026-08-04
Singapore,Singaporiansk dollar,SGD,7.3933,7.5031,2026-08-04
Storbritannien,Brittiskt pund,GBP,12.7507,12.9397,2026-08-04
Sydafrika,Sydafrikansk rand,ZAR,0.5721,0.5868,2026-08-04
Thailand,Thailänsk bath,THB,0.2825,0.2901,2026-08-04
Tjeckien,Tjeckisk krona,CZK,0.4514,0.4582,2026-08-04
Turkiet,Turkisk lira,TRY,0.1983,0.2035,2026-08-04
Ungern,Ungersk forint,HUF,0.0299,0.0307,2026-08-04
USA,Amerikansk dollar,USD,9.4901,9.6305,2026-08-04
