pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.8924,10.8946,10.8935,926,EUR/SEK Spot,10.8935,10.8924,10.8946
USD/SEK,USD,SEK,1,9.3995,9.4025,9.401,150,USD/SEK Spot,9.401,9.3995,9.4025
GBP/SEK,GBP,SEK,1,12.5942,12.6042,12.5992,72825,GBP/SEK Spot,12.5992,12.5942,12.6042
JPY/SEK,JPY,SEK,1,5.859,5.869,5.864,117083,JPY/SEK Spot,5.864,5.859,5.869
CHF/SEK,CHF,SEK,1,11.8489,11.8589,11.8539,72829,CHF/SEK Spot,11.8539,11.8489,11.8589
NOK/SEK,NOK,SEK,1,0.9896,0.9906,0.9901,72828,NOK/SEK Spot,0.9901,0.9896,0.9906
DKK/SEK,DKK,SEK,1,1.4569,1.4579,1.4574,72826,DKK/SEK Spot,1.4574,1.4569,1.4579
CAD/SEK,CAD,SEK,1,6.7025,6.7125,6.7075,51623,CAD/SEK Spot,6.7075,6.7025,6.7125
AUD/SEK,AUD,SEK,1,6.6359,6.6369,6.6364,117438,AUD/SEK Spot,6.6364,6.6359,6.6369
NZD/SEK,NZD,SEK,1,5.4605,5.4615,5.461,117521,NZD/SEK Spot,5.461,5.4605,5.4615
