pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0539,11.0562,11.055,926,EUR/SEK Spot,11.055,11.0539,11.0562
USD/SEK,USD,SEK,1,9.7008,9.7028,9.7018,150,USD/SEK Spot,9.7018,9.7008,9.7028
GBP/SEK,GBP,SEK,1,12.8978,12.9078,12.9028,72825,GBP/SEK Spot,12.9028,12.8978,12.9078
JPY/SEK,JPY,SEK,1,5.926,5.936,5.931,117083,JPY/SEK Spot,5.931,5.926,5.936
CHF/SEK,CHF,SEK,1,11.8341,11.8441,11.8391,72829,CHF/SEK Spot,11.8391,11.8341,11.8441
NOK/SEK,NOK,SEK,1,1.002,1.003,1.0025,72828,NOK/SEK Spot,1.0025,1.002,1.003
DKK/SEK,DKK,SEK,1,1.4786,1.4796,1.4791,72826,DKK/SEK Spot,1.4791,1.4786,1.4796
CAD/SEK,CAD,SEK,1,6.8775,6.8875,6.8825,51623,CAD/SEK Spot,6.8825,6.8775,6.8875
AUD/SEK,AUD,SEK,1,6.7376,6.7386,6.7381,117438,AUD/SEK Spot,6.7381,6.7376,6.7386
NZD/SEK,NZD,SEK,1,5.611,5.612,5.6115,117521,NZD/SEK Spot,5.6115,5.611,5.612
