pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.6137,6.7015,AUD,Australiensiska dollar,6.6137,6.7015,6.6576,11:59:59
BRL/SEK,BRL,SEK,1,1.7907,1.8917,BRL,Brasilianska real,1.7907,1.8917,1.8412,11:59:59
CAD/SEK,CAD,SEK,1,6.66750,6.75480,CAD,Kanadensiska dollar,6.66750,6.75480,6.71115,11:59:59
CHF/SEK,CHF,SEK,1,11.7615,11.8961,CHF,Schweiziska franc,11.7615,11.8961,11.8288,11:59:59
CNY/SEK,CNY,SEK,1,1.35560,1.38610,CNY,Kinesiska yuan,1.35560,1.38610,1.37085,11:59:59
CZK/SEK,CZK,SEK,1,0.440160,0.449430,CZK,Tjeckiska koruna,0.440160,0.449430,0.444795,11:59:59
DKK/SEK,DKK,SEK,1,1.43750,1.45400,DKK,Danska kronor,1.43750,1.45400,1.44575,11:59:59
EUR/SEK,EUR,SEK,1,10.7386,10.8714,EUR,Euro,10.7386,10.8714,10.8050,11:59:59
GBP/SEK,GBP,SEK,1,12.41040,12.55470,GBP,Pound sterling,12.41040,12.55470,12.48255,11:59:59
HKD/SEK,HKD,SEK,1,1.17110,1.19560,HKD,Hong Kong dollar,1.17110,1.19560,1.18335,11:59:59
HUF/SEK,HUF,SEK,1,0.0299610,0.0309820,HUF,Ungerska forint,0.0299610,0.0309820,0.0304715,11:59:59
ILS/SEK,ILS,SEK,1,3.2142,3.3726,ILS,Israelska new shekel,3.2142,3.3726,3.2934,11:59:59
INR/SEK,INR,SEK,1,0.094297,0.100945,INR,Indiska rupees,0.094297,0.100945,0.097621,11:59:59
JPY/SEK,JPY,SEK,1,0.0576490,0.0586700,JPY,Japanska yen,0.0576490,0.0586700,0.0581595,11:59:59
NOK/SEK,NOK,SEK,1,0.9956,1.0102,NOK,Norska kronor,0.9956,1.0102,1.0029,11:59:59
NZD/SEK,NZD,SEK,1,5.4761,5.5635,NZD,Nya Zeeländska dollar,5.4761,5.5635,5.5198,11:59:59
PLN/SEK,PLN,SEK,1,2.52070,2.58200,PLN,Polska zloty,2.52070,2.58200,2.55135,11:59:59
SGD/SEK,SGD,SEK,1,7.2172,7.2998,SGD,Singapore dollar,7.2172,7.2998,7.2585,11:59:59
THB/SEK,THB,SEK,1,0.278040,0.291250,THB,Thailändska baht,0.278040,0.291250,0.284645,11:59:59
TRY/SEK,TRY,SEK,1,0.18396,0.22004,TRY,Turkiska lira,0.18396,0.22004,0.20200,11:59:59
USD/SEK,USD,SEK,1,9.2077,9.3403,USD,Amerikanska dollar,9.2077,9.3403,9.2740,11:59:59
ZAR/SEK,ZAR,SEK,1,0.56074,0.58108,ZAR,Sydafrikanska rand,0.56074,0.58108,0.57091,11:59:59
