pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.7767,10.7817,10.7792,926,EUR/SEK Spot,10.7792,10.7767,10.7817
USD/SEK,USD,SEK,1,9.2285,9.2607,9.2446,150,USD/SEK Spot,9.2446,9.2285,9.2607
GBP/SEK,GBP,SEK,1,12.4281,12.4381,12.4331,72825,GBP/SEK Spot,12.4331,12.4281,12.4381
JPY/SEK,JPY,SEK,1,5.797,5.807,5.802,117083,JPY/SEK Spot,5.802,5.797,5.807
CHF/SEK,CHF,SEK,1,11.8275,11.8375,11.8325,72829,CHF/SEK Spot,11.8325,11.8275,11.8375
NOK/SEK,NOK,SEK,1,0.9986,0.9996,0.9991,72828,NOK/SEK Spot,0.9991,0.9986,0.9996
DKK/SEK,DKK,SEK,1,1.4412,1.4422,1.4417,72826,DKK/SEK Spot,1.4417,1.4412,1.4422
CAD/SEK,CAD,SEK,1,6.6934,6.7034,6.6984,51623,CAD/SEK Spot,6.6984,6.6934,6.7034
AUD/SEK,AUD,SEK,1,6.6383,6.6393,6.6388,117438,AUD/SEK Spot,6.6388,6.6383,6.6393
NZD/SEK,NZD,SEK,1,5.5336,5.5346,5.5341,117521,NZD/SEK Spot,5.5341,5.5336,5.5346
