country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6649,6.766,2026-06-19
Danmark,Dansk krona,DKK,1.4565,1.4784,2026-06-19
Euro,Euro,EUR,10.8869,11.0509,2026-06-19
Hong Kong,Hongkong dollar,HKD,1.2055,1.2367,2026-06-19
Indien,Indisk rupie,INR,0.0989,0.1041,2026-06-19
Japan,Japanskt yen,JPY,0.0589,0.0598,2026-06-19
Kanada,Kanadensisk dollar,CAD,6.718,6.8198,2026-06-19
Kina,Kinesisk yuan,CNY,1.3949,1.4335,2026-06-19
Mexiko,Mexikansk peso,MXN,0.5446,0.5588,2026-06-19
Norge,Norsk krona,NOK,0.9797,0.9951,2026-06-19
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4563,5.5396,2026-06-19
Polen,Polsk zloty,PLN,2.5539,2.594,2026-06-19
Schweiz,Schweizisk franc,CHF,11.7906,11.9689,2026-06-19
Singapore,Singaporiansk dollar,SGD,7.3584,7.47,2026-06-19
Storbritannien,Brittiskt pund,GBP,12.5722,12.7624,2026-06-19
Sydafrika,Sydafrikansk rand,ZAR,0.5736,0.5886,2026-06-19
Thailand,Thailänsk bath,THB,0.2876,0.2955,2026-06-19
Tjeckien,Tjeckisk krona,CZK,0.4495,0.4564,2026-06-19
Turkiet,Turkisk lira,TRY,0.2032,0.2087,2026-06-19
Ungern,Ungersk forint,HUF,0.0307,0.0315,2026-06-19
USA,Amerikansk dollar,USD,9.5005,9.6439,2026-06-19
