country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6503,6.7303,6.6503,6.7303,7/7
Danmark,DKK/SEK,DKK,SEK,1,1.46553,1.48153,1.46553,1.48153,7/7
Euro,EUR/SEK,EUR,SEK,1,10.9444,11.0844,10.9444,11.0844,7/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2154,1.2417,1.2154,1.2417,7/7
Indien,INR/SEK,INR,SEK,1,0.098157,0.104358,0.098157,0.104358,7/7
Indonesien,IDR/SEK,IDR,SEK,1,0.000523,0.000556,0.000523,0.000556,7/7
Island,ISK/SEK,ISK,SEK,1,0.07632,0.07666,0.07632,0.07666,7/7
Japan,JPY/SEK,JPY,SEK,1,0.059058,0.059999,0.059058,0.059999,7/7
Kanada,CAD/SEK,CAD,SEK,1,6.7363,6.8224,6.7363,6.8224,7/7
Kina,CNY/SEK,CNY,SEK,1,1.4077,1.4278,1.4077,1.4278,7/7
Malaysia,MYR/SEK,MYR,SEK,1,2.349806,2.379806,2.349806,2.379806,7/7
Marocko,MAD/SEK,MAD,SEK,1,1.0112,1.0458,1.0112,1.0458,7/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5464,0.5605,0.5464,0.5605,7/7
Norge,NOK/SEK,NOK,SEK,1,0.976155,0.989155,0.976155,0.989155,7/7
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.4428,5.5249,5.4428,5.5249,7/7
Polen,PLN/SEK,PLN,SEK,1,2.5451,2.5851,2.5451,2.5851,7/7
Ryssland,RUB/SEK,RUB,SEK,1,0.123175,0.127555,0.123175,0.127555,7/7
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5335,2.5977,2.5335,2.5977,7/7
Schweiz,CHF/SEK,CHF,SEK,1,11.89105,12.00305,11.89105,12.00305,7/7
Singapore,SGD/SEK,SGD,SEK,1,7.4217,7.4932,7.4217,7.4932,7/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.8262,12.9662,12.8262,12.9662,7/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5841,0.6022,0.5841,0.6022,7/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.0062,0.006373,0.0062,0.006373,7/7
Thailand,THB/SEK,THB,SEK,1,0.2865,0.2923,0.2865,0.2923,7/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.45172,0.45832,0.45172,0.45832,7/7
Turkiet,TRY/SEK,TRY,SEK,1,0.1712,0.24,0.1712,0.24,7/7
Ungern,HUF/SEK,HUF,SEK,1,0.030723,0.031485,0.030723,0.031485,7/7
USA,USD/SEK,USD,SEK,1,9.5679,9.7029,9.5679,9.7029,7/7
