pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.63730,6.72560,AUD,Australiensiska dollar,6.63730,6.72560,6.68145,11:59:59
BRL/SEK,BRL,SEK,1,1.82890,1.92980,BRL,Brasilianska real,1.82890,1.92980,1.87935,11:59:59
CAD/SEK,CAD,SEK,1,6.7495,6.8375,CAD,Kanadensiska dollar,6.7495,6.8375,6.7935,11:59:59
CHF/SEK,CHF,SEK,1,11.7263,11.8641,CHF,Schweiziska franc,11.7263,11.8641,11.7952,11:59:59
CNY/SEK,CNY,SEK,1,1.39740,1.42810,CNY,Kinesiska yuan,1.39740,1.42810,1.41275,11:59:59
CZK/SEK,CZK,SEK,1,0.44943,0.45873,CZK,Tjeckiska koruna,0.44943,0.45873,0.45408,11:59:59
DKK/SEK,DKK,SEK,1,1.4622,1.4788,DKK,Danska kronor,1.4622,1.4788,1.4705,11:59:59
EUR/SEK,EUR,SEK,1,10.9251,11.0587,EUR,Euro,10.9251,11.0587,10.9919,11:59:59
GBP/SEK,GBP,SEK,1,12.75800,12.90370,GBP,Pound sterling,12.75800,12.90370,12.83085,11:59:59
HKD/SEK,HKD,SEK,1,1.20420,1.22870,HKD,Hong Kong dollar,1.20420,1.22870,1.21645,11:59:59
HUF/SEK,HUF,SEK,1,0.029634,0.030662,HUF,Ungerska forint,0.029634,0.030662,0.030148,11:59:59
ILS/SEK,ILS,SEK,1,3.04120,3.19950,ILS,Israelska new shekel,3.04120,3.19950,3.12035,11:59:59
INR/SEK,INR,SEK,1,0.09673,0.10339,INR,Indiska rupees,0.09673,0.10339,0.10006,11:59:59
JPY/SEK,JPY,SEK,1,0.060211,0.061245,JPY,Japanska yen,0.060211,0.061245,0.060728,11:59:59
NOK/SEK,NOK,SEK,1,0.9929,1.0077,NOK,Norska kronor,0.9929,1.0077,1.0003,11:59:59
NZD/SEK,NZD,SEK,1,5.5519,5.6401,NZD,Nya Zeeländska dollar,5.5519,5.6401,5.5960,11:59:59
PLN/SEK,PLN,SEK,1,2.52300,2.58470,PLN,Polska zloty,2.52300,2.58470,2.55385,11:59:59
SGD/SEK,SGD,SEK,1,7.39530,7.47860,SGD,Singapore dollar,7.39530,7.47860,7.43695,11:59:59
THB/SEK,THB,SEK,1,0.27933,0.29253,THB,Thailändska baht,0.27933,0.29253,0.28593,11:59:59
TRY/SEK,TRY,SEK,1,0.18263,0.21873,TRY,Turkiska lira,0.18263,0.21873,0.20068,11:59:59
USD/SEK,USD,SEK,1,9.47310,9.60640,USD,Amerikanska dollar,9.47310,9.60640,9.53975,11:59:59
ZAR/SEK,ZAR,SEK,1,0.56770,0.58808,ZAR,Sydafrikanska rand,0.56770,0.58808,0.57789,11:59:59
