pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.8662,10.8685,10.8674,926,EUR/SEK Spot,10.8674,10.8662,10.8685
USD/SEK,USD,SEK,1,9.3344,9.3369,9.3356,150,USD/SEK Spot,9.3356,9.3344,9.3369
GBP/SEK,GBP,SEK,1,12.576,12.586,12.581,72825,GBP/SEK Spot,12.581,12.576,12.586
JPY/SEK,JPY,SEK,1,5.832,5.842,5.837,117083,JPY/SEK Spot,5.837,5.832,5.842
CHF/SEK,CHF,SEK,1,11.8492,11.8592,11.8542,72829,CHF/SEK Spot,11.8542,11.8492,11.8592
NOK/SEK,NOK,SEK,1,1.0018,1.0028,1.0023,72828,NOK/SEK Spot,1.0023,1.0018,1.0028
DKK/SEK,DKK,SEK,1,1.4534,1.4544,1.4539,72826,DKK/SEK Spot,1.4539,1.4534,1.4544
CAD/SEK,CAD,SEK,1,6.7223,6.7323,6.7273,51623,CAD/SEK Spot,6.7273,6.7223,6.7323
AUD/SEK,AUD,SEK,1,6.6648,6.6658,6.6653,117438,AUD/SEK Spot,6.6653,6.6648,6.6658
NZD/SEK,NZD,SEK,1,5.4901,5.4911,5.4906,117521,NZD/SEK Spot,5.4906,5.4901,5.4911
