pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0692,11.0717,11.0704,926,EUR/SEK Spot,11.0704,11.0692,11.0717
USD/SEK,USD,SEK,1,9.6865,9.6893,9.6879,150,USD/SEK Spot,9.6879,9.6865,9.6893
GBP/SEK,GBP,SEK,1,12.9815,12.9915,12.9865,72825,GBP/SEK Spot,12.9865,12.9815,12.9915
JPY/SEK,JPY,SEK,1,5.959,5.969,5.964,117083,JPY/SEK Spot,5.964,5.959,5.969
CHF/SEK,CHF,SEK,1,11.9924,12.0024,11.9974,72829,CHF/SEK Spot,11.9974,11.9924,12.0024
NOK/SEK,NOK,SEK,1,0.9927,0.9937,0.9932,72828,NOK/SEK Spot,0.9932,0.9927,0.9937
DKK/SEK,DKK,SEK,1,1.4803,1.4813,1.4808,72826,DKK/SEK Spot,1.4808,1.4803,1.4813
CAD/SEK,CAD,SEK,1,6.8266,6.8366,6.8316,51623,CAD/SEK Spot,6.8316,6.8266,6.8366
AUD/SEK,AUD,SEK,1,6.719,6.72,6.7195,117438,AUD/SEK Spot,6.7195,6.719,6.72
NZD/SEK,NZD,SEK,1,5.5571,5.5581,5.5576,117521,NZD/SEK Spot,5.5576,5.5571,5.5581
