country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6738,6.7733,2026-07-30
Danmark,Dansk krona,DKK,1.4699,1.4917,2026-07-30
Euro,Euro,EUR,10.99,11.1532,2026-07-30
Hong Kong,Hongkong dollar,HKD,1.2175,1.2486,2026-07-30
Indien,Indisk rupie,INR,0.0984,0.1036,2026-07-30
Japan,Japanskt yen,JPY,0.0587,0.0595,2026-07-30
Kanada,Kanadensisk dollar,CAD,6.8313,6.9329,2026-07-30
Kina,Kinesisk yuan,CNY,1.4118,1.4506,2026-07-30
Mexiko,Mexikansk peso,MXN,0.5467,0.5608,2026-07-30
Norge,Norsk krona,NOK,0.9999,1.0149,2026-07-30
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5738,5.6577,2026-07-30
Polen,Polsk zloty,PLN,2.5409,2.5794,2026-07-30
Schweiz,Schweizisk franc,CHF,11.765,11.9402,2026-07-30
Singapore,Singaporiansk dollar,SGD,7.4359,7.5472,2026-07-30
Storbritannien,Brittiskt pund,GBP,12.8057,12.9967,2026-07-30
Sydafrika,Sydafrikansk rand,ZAR,0.572,0.5867,2026-07-30
Thailand,Thailänsk bath,THB,0.2837,0.2914,2026-07-30
Tjeckien,Tjeckisk krona,CZK,0.4543,0.4614,2026-07-30
Turkiet,Turkisk lira,TRY,0.2009,0.2061,2026-07-30
Ungern,Ungersk forint,HUF,0.0301,0.0309,2026-07-30
USA,Amerikansk dollar,USD,9.5991,9.7418,2026-07-30
