country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6584,6.7385,6.6584,6.7385,13/7
Danmark,DKK/SEK,DKK,SEK,1,1.468395,1.484395,1.468395,1.484395,13/7
Euro,EUR/SEK,EUR,SEK,1,10.96635,11.10635,10.96635,11.10635,13/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2173,1.2436,1.2173,1.2436,13/7
Indien,INR/SEK,INR,SEK,1,0.097754,0.103954,0.097754,0.103954,13/7
Indonesien,IDR/SEK,IDR,SEK,1,0.00052,0.000553,0.00052,0.000553,13/7
Island,ISK/SEK,ISK,SEK,1,0.07679,0.07713,0.07679,0.07713,13/7
Japan,JPY/SEK,JPY,SEK,1,0.059051,0.059991,0.059051,0.059991,13/7
Kanada,CAD/SEK,CAD,SEK,1,6.7812,6.8672,6.7812,6.8672,13/7
Kina,CNY/SEK,CNY,SEK,1,1.4124,1.4324,1.4124,1.4324,13/7
Malaysia,MYR/SEK,MYR,SEK,1,2.352963,2.382963,2.352963,2.382963,13/7
Marocko,MAD/SEK,MAD,SEK,1,1.0177,1.0524,1.0177,1.0524,13/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5449,0.559,0.5449,0.559,13/7
Norge,NOK/SEK,NOK,SEK,1,0.98456,0.99756,0.98456,0.99756,13/7
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.5361,5.6182,5.5361,5.6182,13/7
Polen,PLN/SEK,PLN,SEK,1,2.5269,2.567,2.5269,2.567,13/7
Ryssland,RUB/SEK,RUB,SEK,1,0.122975,0.127355,0.122975,0.127355,13/7
Saudiarabien,SAR/SEK,SAR,SEK,1,2.537,2.6012,2.537,2.6012,13/7
Schweiz,CHF/SEK,CHF,SEK,1,11.8848,11.9968,11.8848,11.9968,13/7
Singapore,SGD/SEK,SGD,SEK,1,7.4303,7.5018,7.4303,7.5018,13/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.8602,13.0003,12.8602,13.0003,13/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5812,0.5993,0.5812,0.5993,13/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.006348,0.006521,0.006348,0.006521,13/7
Thailand,THB/SEK,THB,SEK,1,0.2865,0.2923,0.2865,0.2923,13/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.451515,0.458115,0.451515,0.458115,13/7
Turkiet,TRY/SEK,TRY,SEK,1,0.1705,0.2393,0.1705,0.2393,13/7
Ungern,HUF/SEK,HUF,SEK,1,0.030548,0.031309,0.030548,0.031309,13/7
USA,USD/SEK,USD,SEK,1,9.5778,9.7128,9.5778,9.7128,13/7
