pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.6705,6.7589,AUD,Australiensiska dollar,6.6705,6.7589,6.7147,11:59:59
BRL/SEK,BRL,SEK,1,1.8385,1.9393,BRL,Brasilianska real,1.8385,1.9393,1.8889,11:59:59
CAD/SEK,CAD,SEK,1,6.80790,6.89580,CAD,Kanadensiska dollar,6.80790,6.89580,6.85185,11:59:59
CHF/SEK,CHF,SEK,1,11.9569,12.0949,CHF,Schweiziska franc,11.9569,12.0949,12.0259,11:59:59
CNY/SEK,CNY,SEK,1,1.41910,1.44980,CNY,Kinesiska yuan,1.41910,1.44980,1.43445,11:59:59
CZK/SEK,CZK,SEK,1,0.452910,0.462220,CZK,Tjeckiska koruna,0.452910,0.462220,0.457565,11:59:59
DKK/SEK,DKK,SEK,1,1.4766,1.4932,DKK,Danska kronor,1.4766,1.4932,1.4849,11:59:59
EUR/SEK,EUR,SEK,1,11.0323,11.1659,EUR,Euro,11.0323,11.1659,11.0991,11:59:59
GBP/SEK,GBP,SEK,1,12.8379,12.9837,GBP,Pound sterling,12.8379,12.9837,12.9108,11:59:59
HKD/SEK,HKD,SEK,1,1.23030,1.25480,HKD,Hong Kong dollar,1.23030,1.25480,1.24255,11:59:59
HUF/SEK,HUF,SEK,1,0.0306520,0.0316810,HUF,Ungerska forint,0.0306520,0.0316810,0.0311665,11:59:59
ILS/SEK,ILS,SEK,1,3.19470,3.35320,ILS,Israelska new shekel,3.19470,3.35320,3.27395,11:59:59
INR/SEK,INR,SEK,1,0.09902,0.10568,INR,Indiska rupees,0.09902,0.10568,0.10235,11:59:59
JPY/SEK,JPY,SEK,1,0.059376,0.060406,JPY,Japanska yen,0.059376,0.060406,0.059891,11:59:59
NOK/SEK,NOK,SEK,1,0.9732,0.9880,NOK,Norska kronor,0.9732,0.9880,0.9806,11:59:59
NZD/SEK,NZD,SEK,1,5.4849,5.5729,NZD,Nya Zeeländska dollar,5.4849,5.5729,5.5289,11:59:59
PLN/SEK,PLN,SEK,1,2.55400,2.61570,PLN,Polska zloty,2.55400,2.61570,2.58485,11:59:59
SGD/SEK,SGD,SEK,1,7.47430,7.55760,SGD,Singapore dollar,7.47430,7.55760,7.51595,11:59:59
THB/SEK,THB,SEK,1,0.285290,0.298500,THB,Thailändska baht,0.285290,0.298500,0.291895,11:59:59
TRY/SEK,TRY,SEK,1,0.190770,0.226880,TRY,Turkiska lira,0.190770,0.226880,0.208825,11:59:59
USD/SEK,USD,SEK,1,9.6797,9.8131,USD,Amerikanska dollar,9.6797,9.8131,9.7464,11:59:59
ZAR/SEK,ZAR,SEK,1,0.583050,0.603460,ZAR,Sydafrikanska rand,0.583050,0.603460,0.593255,11:59:59
