pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.6656,6.7540,AUD,Australiensiska dollar,6.6656,6.7540,6.7098,11:59:59
BRL/SEK,BRL,SEK,1,1.80640,1.90750,BRL,Brasilianska real,1.80640,1.90750,1.85695,11:59:59
CAD/SEK,CAD,SEK,1,6.72660,6.81470,CAD,Kanadensiska dollar,6.72660,6.81470,6.77065,11:59:59
CHF/SEK,CHF,SEK,1,11.69850,11.83500,CHF,Schweiziska franc,11.69850,11.83500,11.76675,11:59:59
CNY/SEK,CNY,SEK,1,1.39560,1.42630,CNY,Kinesiska yuan,1.39560,1.42630,1.41095,11:59:59
CZK/SEK,CZK,SEK,1,0.449380,0.458690,CZK,Tjeckiska koruna,0.449380,0.458690,0.454035,11:59:59
DKK/SEK,DKK,SEK,1,1.4617,1.4783,DKK,Danska kronor,1.4617,1.4783,1.4700,11:59:59
EUR/SEK,EUR,SEK,1,10.9218,11.0554,EUR,Euro,10.9218,11.0554,10.9886,11:59:59
GBP/SEK,GBP,SEK,1,12.75080,12.89650,GBP,Pound sterling,12.75080,12.89650,12.82365,11:59:59
HKD/SEK,HKD,SEK,1,1.20180,1.22630,HKD,Hong Kong dollar,1.20180,1.22630,1.21405,11:59:59
HUF/SEK,HUF,SEK,1,0.029819,0.030847,HUF,Ungerska forint,0.029819,0.030847,0.030333,11:59:59
ILS/SEK,ILS,SEK,1,3.0908,3.2492,ILS,Israelska new shekel,3.0908,3.2492,3.1700,11:59:59
INR/SEK,INR,SEK,1,0.09677,0.10343,INR,Indiska rupees,0.09677,0.10343,0.10010,11:59:59
JPY/SEK,JPY,SEK,1,0.0598460,0.0608790,JPY,Japanska yen,0.0598460,0.0608790,0.0603625,11:59:59
NOK/SEK,NOK,SEK,1,0.9927,1.0075,NOK,Norska kronor,0.9927,1.0075,1.0001,11:59:59
NZD/SEK,NZD,SEK,1,5.54000,5.62810,NZD,Nya Zeeländska dollar,5.54000,5.62810,5.58405,11:59:59
PLN/SEK,PLN,SEK,1,2.5193,2.5811,PLN,Polska zloty,2.5193,2.5811,2.5502,11:59:59
SGD/SEK,SGD,SEK,1,7.38580,7.46910,SGD,Singapore dollar,7.38580,7.46910,7.42745,11:59:59
THB/SEK,THB,SEK,1,0.28018,0.29338,THB,Thailändska baht,0.28018,0.29338,0.28678,11:59:59
TRY/SEK,TRY,SEK,1,0.18210,0.21820,TRY,Turkiska lira,0.18210,0.21820,0.20015,11:59:59
USD/SEK,USD,SEK,1,9.45580,9.58910,USD,Amerikanska dollar,9.45580,9.58910,9.52245,11:59:59
ZAR/SEK,ZAR,SEK,1,0.570360,0.590750,ZAR,Sydafrikanska rand,0.570360,0.590750,0.580555,11:59:59
