country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6824,6.8116,2026-07-20
Danmark,Dansk krona,DKK,1.4632,1.4915,2026-07-20
Euro,Euro,EUR,10.9391,11.1499,2026-07-20
Hong Kong,Hongkong dollar,HKD,1.2138,1.2503,2026-07-20
Indien,Indisk rupie,INR,0.0975,0.1031,2026-07-20
Japan,Japanskt yen,JPY,0.0589,0.0601,2026-07-20
Kanada,Kanadensisk dollar,CAD,6.8275,6.9596,2026-07-20
Kina,Kinesisk yuan,CNY,1.4031,1.4483,2026-07-20
Mexiko,Mexikansk peso,MXN,0.5429,0.5594,2026-07-20
Norge,Norsk krona,NOK,0.99,1.0137,2026-07-20
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5879,5.6967,2026-07-20
Polen,Polsk zloty,PLN,2.5196,2.5691,2026-07-20
Schweiz,Schweizisk franc,CHF,11.8396,12.0685,2026-07-20
Singapore,Singaporiansk dollar,SGD,7.4086,7.552,2026-07-20
Storbritannien,Brittiskt pund,GBP,12.8682,13.1171,2026-07-20
Sydafrika,Sydafrikansk rand,ZAR,0.5751,0.5927,2026-07-20
Thailand,Thailänsk bath,THB,0.2826,0.2915,2026-07-20
Tjeckien,Tjeckisk krona,CZK,0.4514,0.4604,2026-07-20
Turkiet,Turkisk lira,TRY,0.2011,0.2079,2026-07-20
Ungern,Ungersk forint,HUF,0.0299,0.0309,2026-07-20
USA,Amerikansk dollar,USD,9.567,9.7516,2026-07-20
