country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6397,6.7382,2026-07-06
Danmark,Dansk krona,DKK,1.4625,1.4842,2026-07-06
Euro,Euro,EUR,10.9323,11.0935,2026-07-06
Hong Kong,Hongkong dollar,HKD,1.2146,1.2456,2026-07-06
Indien,Indisk rupie,INR,0.0985,0.1037,2026-07-06
Japan,Japanskt yen,JPY,0.059,0.0599,2026-07-06
Kanada,Kanadensisk dollar,CAD,6.7346,6.8343,2026-07-06
Kina,Kinesisk yuan,CNY,1.4005,1.4388,2026-07-06
Mexiko,Mexikansk peso,MXN,0.5449,0.5589,2026-07-06
Norge,Norsk krona,NOK,0.9729,0.9874,2026-07-06
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4439,5.5253,2026-07-06
Polen,Polsk zloty,PLN,2.5492,2.5875,2026-07-06
Schweiz,Schweizisk franc,CHF,11.8839,12.0598,2026-07-06
Singapore,Singaporiansk dollar,SGD,7.4043,7.5144,2026-07-06
Storbritannien,Brittiskt pund,GBP,12.7815,12.9712,2026-07-06
Sydafrika,Sydafrikansk rand,ZAR,0.5865,0.6016,2026-07-06
Thailand,Thailänsk bath,THB,0.2858,0.2935,2026-07-06
Tjeckien,Tjeckisk krona,CZK,0.4526,0.4594,2026-07-06
Turkiet,Turkisk lira,TRY,0.2033,0.2087,2026-07-06
Ungern,Ungersk forint,HUF,0.0308,0.0316,2026-07-06
USA,Amerikansk dollar,USD,9.5775,9.7191,2026-07-06
