country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.5866,6.8181,2026-06-19
Danmark,Dansk krona,DKK,1.4526,1.4867,2026-06-19
Euro,Euro,EUR,10.8257,11.1124,2026-06-19
Hong Kong,Hongkong dollar,HKD,1.2001,1.2432,2026-06-19
Indien,Indisk rupie,INR,0.0984,0.1046,2026-06-19
Japan,Japanskt yen,JPY,0.0586,0.0601,2026-06-19
Kanada,Kanadensisk dollar,CAD,6.6586,6.8539,2026-06-19
Kina,Kinesisk yuan,CNY,1.3886,1.4406,2026-06-19
Mexiko,Mexikansk peso,MXN,0.5407,0.5628,2026-06-19
Norge,Norsk krona,NOK,0.9689,1.0008,2026-06-19
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4041,5.5804,2026-06-19
Polen,Polsk zloty,PLN,2.5446,2.614,2026-06-19
Schweiz,Schweizisk franc,CHF,11.6731,12.0345,2026-06-19
Singapore,Singaporiansk dollar,SGD,7.3175,7.5113,2026-06-19
Storbritannien,Brittiskt pund,GBP,12.4926,12.8422,2026-06-19
Sydafrika,Sydafrikansk rand,ZAR,0.568,0.594,2026-06-19
Thailand,Thailänsk bath,THB,0.2786,0.3031,2026-06-19
Tjeckien,Tjeckisk krona,CZK,0.4484,0.4601,2026-06-19
Turkiet,Turkisk lira,TRY,0.2019,0.2098,2026-06-19
Ungern,Ungersk forint,HUF,0.0305,0.0318,2026-06-19
USA,Amerikansk dollar,USD,9.4201,9.6915,2026-06-19
