pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.9705,10.9735,10.972,926,EUR/SEK Spot,10.972,10.9705,10.9735
USD/SEK,USD,SEK,1,9.5093,9.5261,9.5177,150,USD/SEK Spot,9.5177,9.5093,9.5261
GBP/SEK,GBP,SEK,1,12.8359,12.8459,12.8409,72825,GBP/SEK Spot,12.8409,12.8359,12.8459
JPY/SEK,JPY,SEK,1,6.042,6.052,6.047,117083,JPY/SEK Spot,6.047,6.042,6.052
CHF/SEK,CHF,SEK,1,11.79,11.8,11.795,72829,CHF/SEK Spot,11.795,11.79,11.8
NOK/SEK,NOK,SEK,1,1.005,1.006,1.0055,72828,NOK/SEK Spot,1.0055,1.005,1.006
DKK/SEK,DKK,SEK,1,1.4688,1.4698,1.4693,72826,DKK/SEK Spot,1.4693,1.4688,1.4698
CAD/SEK,CAD,SEK,1,6.7903,6.8003,6.7953,51623,CAD/SEK Spot,6.7953,6.7903,6.8003
AUD/SEK,AUD,SEK,1,6.6866,6.6876,6.6871,117438,AUD/SEK Spot,6.6871,6.6866,6.6876
NZD/SEK,NZD,SEK,1,5.6039,5.6049,5.6044,117521,NZD/SEK Spot,5.6044,5.6039,5.6049
