country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6642,6.7631,2026-06-03
Danmark,Dansk krona,DKK,1.4449,1.4663,2026-06-03
Euro,Euro,EUR,10.7996,10.959,2026-06-03
Hong Kong,Hongkong dollar,HKD,1.1801,1.2101,2026-06-03
Indien,Indisk rupie,INR,0.0953,0.1004,2026-06-03
Japan,Japanskt yen,JPY,0.0582,0.059,2026-06-03
Kanada,Kanadensisk dollar,CAD,6.7112,6.8106,2026-06-03
Kina,Kinesisk yuan,CNY,1.3646,1.4018,2026-06-03
Mexiko,Mexikansk peso,MXN,0.5346,0.5485,2026-06-03
Norge,Norsk krona,NOK,1.0015,1.0165,2026-06-03
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4817,5.5634,2026-06-03
Polen,Polsk zloty,PLN,2.5459,2.585,2026-06-03
Schweiz,Schweizisk franc,CHF,11.7819,11.9563,2026-06-03
Singapore,Singaporiansk dollar,SGD,7.2526,7.3604,2026-06-03
Storbritannien,Brittiskt pund,GBP,12.5039,12.6893,2026-06-03
Sydafrika,Sydafrikansk rand,ZAR,0.5678,0.5825,2026-06-03
Thailand,Thailänsk bath,THB,0.2822,0.2898,2026-06-03
Tjeckien,Tjeckisk krona,CZK,0.4463,0.4531,2026-06-03
Turkiet,Turkisk lira,TRY,0.201,0.2062,2026-06-03
Ungern,Ungersk forint,HUF,0.0303,0.031,2026-06-03
USA,Amerikansk dollar,USD,9.2971,9.4345,2026-06-03
