pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0526,11.055,11.0538,926,EUR/SEK Spot,11.0538,11.0526,11.055
USD/SEK,USD,SEK,1,9.6743,9.6771,9.6757,150,USD/SEK Spot,9.6757,9.6743,9.6771
GBP/SEK,GBP,SEK,1,12.956,12.966,12.961,72825,GBP/SEK Spot,12.961,12.956,12.966
JPY/SEK,JPY,SEK,1,5.957,5.967,5.962,117083,JPY/SEK Spot,5.962,5.957,5.967
CHF/SEK,CHF,SEK,1,11.9407,11.9507,11.9457,72829,CHF/SEK Spot,11.9457,11.9407,11.9507
NOK/SEK,NOK,SEK,1,0.994,0.995,0.9945,72828,NOK/SEK Spot,0.9945,0.994,0.995
DKK/SEK,DKK,SEK,1,1.4782,1.4792,1.4787,72826,DKK/SEK Spot,1.4787,1.4782,1.4792
CAD/SEK,CAD,SEK,1,6.8794,6.8894,6.8844,51623,CAD/SEK Spot,6.8844,6.8794,6.8894
AUD/SEK,AUD,SEK,1,6.7621,6.7631,6.7626,117438,AUD/SEK Spot,6.7626,6.7621,6.7631
NZD/SEK,NZD,SEK,1,5.6316,5.6326,5.6321,117521,NZD/SEK Spot,5.6321,5.6316,5.6326
