country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6124,6.7542,2026-06-12
Danmark,Dansk krona,DKK,1.4547,1.4815,2026-06-12
Euro,Euro,EUR,10.8724,11.0721,2026-06-12
Hong Kong,Hongkong dollar,HKD,1.1926,1.2287,2026-06-12
Indien,Indisk rupie,INR,0.0969,0.1025,2026-06-12
Japan,Japanskt yen,JPY,0.0585,0.0598,2026-06-12
Kanada,Kanadensisk dollar,CAD,6.7148,6.8477,2026-06-12
Kina,Kinesisk yuan,CNY,1.3806,1.4249,2026-06-12
Mexiko,Mexikansk peso,MXN,0.5414,0.56,2026-06-12
Norge,Norsk krona,NOK,0.9875,1.0058,2026-06-12
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4704,5.5961,2026-06-12
Polen,Polsk zloty,PLN,2.5602,2.6112,2026-06-12
Schweiz,Schweizisk franc,CHF,11.7726,12.0191,2026-06-12
Singapore,Singaporiansk dollar,SGD,7.3026,7.4715,2026-06-12
Storbritannien,Brittiskt pund,GBP,12.5799,12.8484,2026-06-12
Sydafrika,Sydafrikansk rand,ZAR,0.5707,0.594,2026-06-12
Thailand,Thailänsk bath,THB,0.2848,0.2947,2026-06-12
Tjeckien,Tjeckisk krona,CZK,0.4498,0.4592,2026-06-12
Turkiet,Turkisk lira,TRY,0.2015,0.2081,2026-06-12
Ungern,Ungersk forint,HUF,0.0307,0.0317,2026-06-12
USA,Amerikansk dollar,USD,9.3955,9.5761,2026-06-12
