pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.57720,6.66550,AUD,Australiensiska dollar,6.57720,6.66550,6.62135,11:59:59
BRL/SEK,BRL,SEK,1,1.7906,1.8914,BRL,Brasilianska real,1.7906,1.8914,1.8410,11:59:59
CAD/SEK,CAD,SEK,1,6.65240,6.74030,CAD,Kanadensiska dollar,6.65240,6.74030,6.69635,11:59:59
CHF/SEK,CHF,SEK,1,11.7777,11.9143,CHF,Schweiziska franc,11.7777,11.9143,11.8460,11:59:59
CNY/SEK,CNY,SEK,1,1.3722,1.4028,CNY,Kinesiska yuan,1.3722,1.4028,1.3875,11:59:59
CZK/SEK,CZK,SEK,1,0.44572,0.45502,CZK,Tjeckiska koruna,0.44572,0.45502,0.45037,11:59:59
DKK/SEK,DKK,SEK,1,1.4472,1.4638,DKK,Danska kronor,1.4472,1.4638,1.4555,11:59:59
EUR/SEK,EUR,SEK,1,10.8132,10.9468,EUR,Euro,10.8132,10.9468,10.8800,11:59:59
GBP/SEK,GBP,SEK,1,12.50750,12.65320,GBP,Pound sterling,12.50750,12.65320,12.58035,11:59:59
HKD/SEK,HKD,SEK,1,1.18440,1.20890,HKD,Hong Kong dollar,1.18440,1.20890,1.19665,11:59:59
HUF/SEK,HUF,SEK,1,0.030607,0.031637,HUF,Ungerska forint,0.030607,0.031637,0.031122,11:59:59
ILS/SEK,ILS,SEK,1,3.1355,3.2941,ILS,Israelska new shekel,3.1355,3.2941,3.2148,11:59:59
INR/SEK,INR,SEK,1,0.095861,0.102507,INR,Indiska rupees,0.095861,0.102507,0.099184,11:59:59
JPY/SEK,JPY,SEK,1,0.058018,0.059048,JPY,Japanska yen,0.058018,0.059048,0.058533,11:59:59
NOK/SEK,NOK,SEK,1,0.98110,0.99580,NOK,Norska kronor,0.98110,0.99580,0.98845,11:59:59
NZD/SEK,NZD,SEK,1,5.40910,5.49720,NZD,Nya Zeeländska dollar,5.40910,5.49720,5.45315,11:59:59
PLN/SEK,PLN,SEK,1,2.53560,2.59730,PLN,Polska zloty,2.53560,2.59730,2.56645,11:59:59
SGD/SEK,SGD,SEK,1,7.26840,7.35170,SGD,Singapore dollar,7.26840,7.35170,7.31005,11:59:59
THB/SEK,THB,SEK,1,0.28114,0.29434,THB,Thailändska baht,0.28114,0.29434,0.28774,11:59:59
TRY/SEK,TRY,SEK,1,0.18438,0.22048,TRY,Turkiska lira,0.18438,0.22048,0.20243,11:59:59
USD/SEK,USD,SEK,1,9.30950,9.44280,USD,Amerikanska dollar,9.30950,9.44280,9.37615,11:59:59
ZAR/SEK,ZAR,SEK,1,0.56813,0.58855,ZAR,Sydafrikanska rand,0.56813,0.58855,0.57834,11:59:59
