pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.9884,10.9908,10.9896,926,EUR/SEK Spot,10.9896,10.9884,10.9908
USD/SEK,USD,SEK,1,9.5907,9.5937,9.5922,150,USD/SEK Spot,9.5922,9.5907,9.5937
GBP/SEK,GBP,SEK,1,12.6675,12.6775,12.6725,72825,GBP/SEK Spot,12.6725,12.6675,12.6775
JPY/SEK,JPY,SEK,1,5.955,5.965,5.96,117083,JPY/SEK Spot,5.96,5.955,5.965
CHF/SEK,CHF,SEK,1,11.9191,11.9291,11.9241,72829,CHF/SEK Spot,11.9241,11.9191,11.9291
NOK/SEK,NOK,SEK,1,0.989,0.99,0.9895,72828,NOK/SEK Spot,0.9895,0.989,0.99
DKK/SEK,DKK,SEK,1,1.4697,1.4707,1.4702,72826,DKK/SEK Spot,1.4702,1.4697,1.4707
CAD/SEK,CAD,SEK,1,6.7844,6.7944,6.7894,51623,CAD/SEK Spot,6.7894,6.7844,6.7944
AUD/SEK,AUD,SEK,1,6.7158,6.7168,6.7163,117438,AUD/SEK Spot,6.7163,6.7158,6.7168
NZD/SEK,NZD,SEK,1,5.5207,5.5217,5.5212,117521,NZD/SEK Spot,5.5212,5.5207,5.5217
