pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.5933,2.6645,2.6645,2.5933,2026-07-06T10:22:55.873207Z,2026-07-06T10:22:55.873207Z
AUD/SEK,AUD,SEK,1,6.6315,6.763,6.763,6.6315,2026-07-06T10:22:55.863359Z,2026-07-06T10:22:55.863359Z
BDT/SEK,BDT,SEK,1,0.075895,0.081087,0.081087,0.075895,2026-07-06T10:22:55.858189Z,2026-07-06T10:22:55.858189Z
BHD/SEK,BHD,SEK,1,25.264,25.9628,25.9628,25.264,2026-07-06T10:22:55.878283Z,2026-07-06T10:22:55.878283Z
CAD/SEK,CAD,SEK,1,6.7259,6.8592,6.8592,6.7259,2026-07-06T10:22:55.868296Z,2026-07-06T10:22:55.868296Z
CHF/SEK,CHF,SEK,1,11.8722,12.1078,12.1078,11.8722,2026-07-06T10:22:55.860649Z,2026-07-06T10:22:55.860649Z
CNH/SEK,CNH,SEK,1,1.4013,1.4398,1.4398,1.4013,2026-07-06T10:22:55.885529Z,2026-07-06T10:22:55.885529Z
CNY/SEK,CNY,SEK,1,1.39245,1.44983,1.44983,1.39245,2026-07-06T10:22:55.871251Z,2026-07-06T10:22:55.871251Z
CZK/SEK,CZK,SEK,1,0.45199,0.46113,0.46113,0.45199,2026-07-06T10:22:55.857765Z,2026-07-06T10:22:55.857765Z
DKK/SEK,DKK,SEK,1,1.4606,1.4896,1.4896,1.4606,2026-07-06T10:22:55.871933Z,2026-07-06T10:22:55.871933Z
EGP/SEK,EGP,SEK,1,0.1915,0.2037,0.2037,0.1915,2026-07-06T10:22:55.863809Z,2026-07-06T10:22:55.863809Z
EUR/SEK,EUR,SEK,1,10.9052,11.1215,11.1215,10.9052,2026-07-06T12:00:43.581501Z,2026-07-06T12:00:43.581501Z
GBP/SEK,GBP,SEK,1,12.7597,13.0126,13.0126,12.7597,2026-07-06T10:22:55.866355Z,2026-07-06T10:22:55.866355Z
GIP/SEK,GIP,SEK,1,12.752403,13.020066,13.020066,12.752403,2026-07-06T10:22:55.894795Z,2026-07-06T10:22:55.894795Z
HKD/SEK,HKD,SEK,1,1.21446,1.24782,1.24782,1.21446,2026-07-06T10:22:55.858648Z,2026-07-06T10:22:55.858648Z
HUF/SEK,HUF,SEK,1,0.030867,0.031491,0.031491,0.030867,2026-07-06T10:22:55.859510Z,2026-07-06T10:22:55.859510Z
IDR/SEK,IDR,SEK,1,0.0005255,0.0005476,0.0005476,0.0005255,2026-07-06T10:22:55.878429Z,2026-07-06T10:22:55.878429Z
ILS/SEK,ILS,SEK,1,3.1683,3.2566,3.2566,3.1683,2026-07-06T10:22:55.858566Z,2026-07-06T10:22:55.858566Z
INR/SEK,INR,SEK,1,0.09918,0.10325,0.10325,0.09918,2026-07-06T10:22:55.871170Z,2026-07-06T10:22:55.871170Z
ISK/SEK,ISK,SEK,1,0.075,0.0782,0.0782,0.075,2026-07-06T10:22:55.857755Z,2026-07-06T10:22:55.857755Z
JPY/SEK,JPY,SEK,1,0.058917,0.060084,0.060084,0.058917,2026-07-06T10:22:55.879242Z,2026-07-06T10:22:55.879242Z
KES/SEK,KES,SEK,1,0.0731,0.0763,0.0763,0.0731,2026-07-06T10:22:55.862732Z,2026-07-06T10:22:55.862732Z
KRW/SEK,KRW,SEK,1,0.00619,0.006419,0.006419,0.00619,2026-07-06T10:22:55.870450Z,2026-07-06T10:22:55.870450Z
KWD/SEK,KWD,SEK,1,30.6564,31.5543,31.5543,30.6564,2026-07-06T10:22:55.871543Z,2026-07-06T10:22:55.871543Z
KZT/SEK,KZT,SEK,1,0.019991,0.02085,0.02085,0.019991,2026-07-06T10:22:55.878895Z,2026-07-06T10:22:55.878895Z
LKR/SEK,LKR,SEK,1,0.027949,0.029709,0.029709,0.027949,2026-07-06T10:22:55.860331Z,2026-07-06T10:22:55.860331Z
MAD/SEK,MAD,SEK,1,1.0104,1.0523,1.0523,1.0104,2026-07-06T10:22:55.884288Z,2026-07-06T10:22:55.884288Z
MXN/SEK,MXN,SEK,1,0.54503,0.56004,0.56004,0.54503,2026-07-06T10:22:55.882415Z,2026-07-06T10:22:55.882415Z
MYR/SEK,MYR,SEK,1,2.3378,2.3896,2.3896,2.3378,2026-07-06T10:22:55.868925Z,2026-07-06T10:22:55.868925Z
NOK/SEK,NOK,SEK,1,0.97172,0.99128,0.99128,0.97172,2026-07-06T10:22:55.879409Z,2026-07-06T10:22:55.879409Z
NZD/SEK,NZD,SEK,1,5.4361,5.5441,5.5441,5.4361,2026-07-06T10:22:55.877914Z,2026-07-06T10:22:55.877914Z
PEN/SEK,PEN,SEK,1,2.780789,2.897296,2.897296,2.780789,2026-07-06T10:22:55.859084Z,2026-07-06T10:22:55.859084Z
