country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.7487,6.8489,2026-07-22
Danmark,Dansk krona,DKK,1.4722,1.4941,2026-07-22
Euro,Euro,EUR,11.0062,11.1688,2026-07-22
Hong Kong,Hongkong dollar,HKD,1.2238,1.2551,2026-07-22
Indien,Indisk rupie,INR,0.0981,0.1033,2026-07-22
Japan,Japanskt yen,JPY,0.0592,0.0601,2026-07-22
Kanada,Kanadensisk dollar,CAD,6.8463,6.948,2026-07-22
Kina,Kinesisk yuan,CNY,1.4147,1.4537,2026-07-22
Mexiko,Mexikansk peso,MXN,0.5507,0.5649,2026-07-22
Norge,Norsk krona,NOK,1.0023,1.0172,2026-07-22
Nya Zeeland,Nyzeeländsk dollar,NZD,5.612,5.696,2026-07-22
Polen,Polsk zloty,PLN,2.5401,2.5784,2026-07-22
Schweiz,Schweizisk franc,CHF,11.8798,12.0561,2026-07-22
Singapore,Singaporiansk dollar,SGD,7.4729,7.584,2026-07-22
Storbritannien,Brittiskt pund,GBP,12.9107,13.1024,2026-07-22
Sydafrika,Sydafrikansk rand,ZAR,0.5811,0.5966,2026-07-22
Thailand,Thailänsk bath,THB,0.2839,0.2915,2026-07-22
Tjeckien,Tjeckisk krona,CZK,0.4548,0.4617,2026-07-22
Turkiet,Turkisk lira,TRY,0.203,0.2084,2026-07-22
Ungern,Ungersk forint,HUF,0.0301,0.0309,2026-07-22
USA,Amerikansk dollar,USD,9.6478,9.7909,2026-07-22
