pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.59990,6.68820,AUD,Australiensiska dollar,6.59990,6.68820,6.64405,11:59:59
BRL/SEK,BRL,SEK,1,1.76420,1.86530,BRL,Brasilianska real,1.76420,1.86530,1.81475,11:59:59
CAD/SEK,CAD,SEK,1,6.71800,6.80590,CAD,Kanadensiska dollar,6.71800,6.80590,6.76195,11:59:59
CHF/SEK,CHF,SEK,1,11.7648,11.9014,CHF,Schweiziska franc,11.7648,11.9014,11.8331,11:59:59
CNY/SEK,CNY,SEK,1,1.37660,1.40730,CNY,Kinesiska yuan,1.37660,1.40730,1.39195,11:59:59
CZK/SEK,CZK,SEK,1,0.44578,0.45512,CZK,Tjeckiska koruna,0.44578,0.45512,0.45045,11:59:59
DKK/SEK,DKK,SEK,1,1.4494,1.4660,DKK,Danska kronor,1.4494,1.4660,1.4577,11:59:59
EUR/SEK,EUR,SEK,1,10.8287,10.9623,EUR,Euro,10.8287,10.9623,10.8955,11:59:59
GBP/SEK,GBP,SEK,1,12.5436,12.6892,GBP,Pound sterling,12.5436,12.6892,12.6164,11:59:59
HKD/SEK,HKD,SEK,1,1.1902,1.2148,HKD,Hong Kong dollar,1.1902,1.2148,1.2025,11:59:59
HUF/SEK,HUF,SEK,1,0.0301770,0.0312060,HUF,Ungerska forint,0.0301770,0.0312060,0.0306915,11:59:59
ILS/SEK,ILS,SEK,1,3.12620,3.28470,ILS,Israelska new shekel,3.12620,3.28470,3.20545,11:59:59
INR/SEK,INR,SEK,1,0.095499,0.102145,INR,Indiska rupees,0.095499,0.102145,0.098822,11:59:59
JPY/SEK,JPY,SEK,1,0.0583130,0.0593460,JPY,Japanska yen,0.0583130,0.0593460,0.0588295,11:59:59
NOK/SEK,NOK,SEK,1,0.9880,1.0028,NOK,Norska kronor,0.9880,1.0028,0.9954,11:59:59
NZD/SEK,NZD,SEK,1,5.4508,5.5390,NZD,Nya Zeeländska dollar,5.4508,5.5390,5.4949,11:59:59
PLN/SEK,PLN,SEK,1,2.54130,2.60300,PLN,Polska zloty,2.54130,2.60300,2.57215,11:59:59
SGD/SEK,SGD,SEK,1,7.28790,7.37120,SGD,Singapore dollar,7.28790,7.37120,7.32955,11:59:59
THB/SEK,THB,SEK,1,0.280310,0.293540,THB,Thailändska baht,0.280310,0.293540,0.286925,11:59:59
TRY/SEK,TRY,SEK,1,0.186280,0.222390,TRY,Turkiska lira,0.186280,0.222390,0.204335,11:59:59
USD/SEK,USD,SEK,1,9.3572,9.4906,USD,Amerikanska dollar,9.3572,9.4906,9.4239,11:59:59
ZAR/SEK,ZAR,SEK,1,0.56223,0.58271,ZAR,Sydafrikanska rand,0.56223,0.58271,0.57247,11:59:59
