country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.7585,6.8386,6.7585,6.8386,24/7
Danmark,DKK/SEK,DKK,SEK,1,1.474385,1.490385,1.474385,1.490385,24/7
Euro,EUR/SEK,EUR,SEK,1,11.0115,11.1515,11.0115,11.1515,24/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2277,1.2539,1.2277,1.2539,24/7
Indien,INR/SEK,INR,SEK,1,0.09772,0.103921,0.09772,0.103921,24/7
Indonesien,IDR/SEK,IDR,SEK,1,0.000528,0.000562,0.000528,0.000562,24/7
Island,ISK/SEK,ISK,SEK,1,0.077217,0.077557,0.077217,0.077557,24/7
Japan,JPY/SEK,JPY,SEK,1,0.058944,0.059885,0.058944,0.059885,24/7
Kanada,CAD/SEK,CAD,SEK,1,6.8698,6.9559,6.8698,6.9559,24/7
Kina,CNY/SEK,CNY,SEK,1,1.4263,1.4463,1.4263,1.4463,24/7
Malaysia,MYR/SEK,MYR,SEK,1,2.36251,2.39251,2.36251,2.39251,24/7
Marocko,MAD/SEK,MAD,SEK,1,1.0222,1.0569,1.0222,1.0569,24/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5495,0.5636,0.5495,0.5636,24/7
Norge,NOK/SEK,NOK,SEK,1,1.00765,1.02065,1.00765,1.02065,24/7
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.591,5.6731,5.591,5.6731,24/7
Polen,PLN/SEK,PLN,SEK,1,2.5416,2.5817,2.5416,2.5817,24/7
Ryssland,RUB/SEK,RUB,SEK,1,0.122145,0.126525,0.122145,0.126525,24/7
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5601,2.6243,2.5601,2.6243,24/7
Schweiz,CHF/SEK,CHF,SEK,1,11.86315,11.97515,11.86315,11.97515,24/7
Singapore,SGD/SEK,SGD,SEK,1,7.5016,7.573,7.5016,7.573,24/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.9061,13.0461,12.9061,13.0461,24/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.569,0.5871,0.569,0.5871,24/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.006523,0.006696,0.006523,0.006696,24/7
Thailand,THB/SEK,THB,SEK,1,0.2858,0.2917,0.2858,0.2917,24/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.455515,0.462115,0.455515,0.462115,24/7
Turkiet,TRY/SEK,TRY,SEK,1,0.1709,0.2398,0.1709,0.2398,24/7
Ungern,HUF/SEK,HUF,SEK,1,0.030121,0.030883,0.030121,0.030883,24/7
USA,USD/SEK,USD,SEK,1,9.663,9.7981,9.663,9.7981,24/7
