pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.5908,2.6619,2.6619,2.5908,2026-07-07T08:59:07.256942Z,2026-07-07T08:59:07.256942Z
AUD/SEK,AUD,SEK,1,6.6312,6.7627,6.7627,6.6312,2026-07-07T08:59:07.222786Z,2026-07-07T08:59:07.222786Z
BDT/SEK,BDT,SEK,1,0.07579,0.081028,0.081028,0.07579,2026-07-07T08:59:07.222856Z,2026-07-07T08:59:07.222856Z
BHD/SEK,BHD,SEK,1,25.2394,25.9372,25.9372,25.2394,2026-07-07T08:59:07.258627Z,2026-07-07T08:59:07.258627Z
CAD/SEK,CAD,SEK,1,6.721,6.8541,6.8541,6.721,2026-07-07T08:59:07.254092Z,2026-07-07T08:59:07.254092Z
CHF/SEK,CHF,SEK,1,11.8473,12.0822,12.0822,11.8473,2026-07-07T08:59:07.226289Z,2026-07-07T08:59:07.226289Z
CNH/SEK,CNH,SEK,1,1.3998,1.4382,1.4382,1.3998,2026-07-07T08:59:07.289756Z,2026-07-07T08:59:07.289756Z
CNY/SEK,CNY,SEK,1,1.39103,1.44836,1.44836,1.39103,2026-07-07T08:59:07.255722Z,2026-07-07T08:59:07.255722Z
CZK/SEK,CZK,SEK,1,0.45068,0.45978,0.45978,0.45068,2026-07-07T08:59:07.225497Z,2026-07-07T08:59:07.225497Z
DKK/SEK,DKK,SEK,1,1.46042,1.48938,1.48938,1.46042,2026-07-07T08:59:07.257840Z,2026-07-07T08:59:07.257840Z
EGP/SEK,EGP,SEK,1,0.1915,0.2037,0.2037,0.1915,2026-07-07T08:59:07.226208Z,2026-07-07T08:59:07.226208Z
EUR/SEK,EUR,SEK,1,10.9244,11.141,11.141,10.9244,2026-07-07T10:01:11.279554Z,2026-07-07T10:01:11.279554Z
GBP/SEK,GBP,SEK,1,12.7924,13.0458,13.0458,12.7924,2026-07-07T08:59:07.259659Z,2026-07-07T08:59:07.259659Z
GIP/SEK,GIP,SEK,1,12.784845,13.053038,13.053038,12.784845,2026-07-07T08:59:07.289054Z,2026-07-07T08:59:07.289054Z
HKD/SEK,HKD,SEK,1,1.21329,1.24661,1.24661,1.21329,2026-07-07T08:59:07.223751Z,2026-07-07T08:59:07.223751Z
HUF/SEK,HUF,SEK,1,0.030785,0.031409,0.031409,0.030785,2026-07-07T08:59:07.224569Z,2026-07-07T08:59:07.224569Z
IDR/SEK,IDR,SEK,1,0.0005255,0.0005474,0.0005474,0.0005255,2026-07-07T08:59:07.289851Z,2026-07-07T08:59:07.289851Z
ILS/SEK,ILS,SEK,1,3.1589,3.2469,3.2469,3.1589,2026-07-07T08:59:07.227839Z,2026-07-07T08:59:07.227839Z
INR/SEK,INR,SEK,1,0.09939,0.10347,0.10347,0.09939,2026-07-07T08:59:07.258049Z,2026-07-07T08:59:07.258049Z
ISK/SEK,ISK,SEK,1,0.075,0.0782,0.0782,0.075,2026-07-07T08:59:07.227107Z,2026-07-07T08:59:07.227107Z
JPY/SEK,JPY,SEK,1,0.058996,0.060164,0.060164,0.058996,2026-07-07T08:59:07.254931Z,2026-07-07T08:59:07.254931Z
KES/SEK,KES,SEK,1,0.0731,0.0762,0.0762,0.0731,2026-07-07T08:59:07.225423Z,2026-07-07T08:59:07.225423Z
KRW/SEK,KRW,SEK,1,0.006226,0.006456,0.006456,0.006226,2026-07-07T08:59:07.257277Z,2026-07-07T08:59:07.257277Z
KWD/SEK,KWD,SEK,1,30.6927,31.5935,31.5935,30.6927,2026-07-07T08:59:07.256498Z,2026-07-07T08:59:07.256498Z
KZT/SEK,KZT,SEK,1,0.020099,0.020933,0.020933,0.020099,2026-07-07T08:59:07.283380Z,2026-07-07T08:59:07.283380Z
LKR/SEK,LKR,SEK,1,0.027953,0.029701,0.029701,0.027953,2026-07-07T08:59:07.223751Z,2026-07-07T08:59:07.223751Z
MAD/SEK,MAD,SEK,1,1.0101,1.052,1.052,1.0101,2026-07-07T08:59:07.288924Z,2026-07-07T08:59:07.288924Z
MXN/SEK,MXN,SEK,1,0.54615,0.56118,0.56118,0.54615,2026-07-07T08:59:07.285895Z,2026-07-07T08:59:07.285895Z
MYR/SEK,MYR,SEK,1,2.3427,2.394,2.394,2.3427,2026-07-07T08:59:07.255226Z,2026-07-07T08:59:07.255226Z
NOK/SEK,NOK,SEK,1,0.97501,0.99435,0.99435,0.97501,2026-07-07T08:59:07.285869Z,2026-07-07T08:59:07.285869Z
NZD/SEK,NZD,SEK,1,5.4365,5.5445,5.5445,5.4365,2026-07-07T08:59:07.288287Z,2026-07-07T08:59:07.288287Z
PEN/SEK,PEN,SEK,1,2.771954,2.889664,2.889664,2.771954,2026-07-07T08:59:07.227021Z,2026-07-07T08:59:07.227021Z
PHP/SEK,PHP,SEK,1,0.1538,0.1602,0.1602,0.1538,2026-07-07T08:59:07.222036Z,2026-07-07T08:59:07.222036Z
PKR/SEK,PKR,SEK,1,0.0336,0.0358,0.0358,0.0336,2026-07-07T08:59:07.285053Z,2026-07-07T08:59:07.285053Z
