country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6647,6.7639,2026-07-01
Danmark,Dansk krona,DKK,1.4746,1.4964,2026-07-01
Euro,Euro,EUR,11.0222,11.1848,2026-07-01
Hong Kong,Hongkong dollar,HKD,1.227,1.2583,2026-07-01
Indien,Indisk rupie,INR,0.0999,0.1052,2026-07-01
Japan,Japanskt yen,JPY,0.0595,0.0603,2026-07-01
Kanada,Kanadensisk dollar,CAD,6.8031,6.9043,2026-07-01
Kina,Kinesisk yuan,CNY,1.4148,1.4534,2026-07-01
Mexiko,Mexikansk peso,MXN,0.5489,0.5631,2026-07-01
Norge,Norsk krona,NOK,0.9722,0.9867,2026-07-01
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4874,5.5698,2026-07-01
Polen,Polsk zloty,PLN,2.5633,2.603,2026-07-01
Schweiz,Schweizisk franc,CHF,11.9386,12.1167,2026-07-01
Singapore,Singaporiansk dollar,SGD,7.4611,7.5719,2026-07-01
Storbritannien,Brittiskt pund,GBP,12.8089,12.9992,2026-07-01
Sydafrika,Sydafrikansk rand,ZAR,0.5858,0.601,2026-07-01
Thailand,Thailänsk bath,THB,0.2881,0.2959,2026-07-01
Tjeckien,Tjeckisk krona,CZK,0.4542,0.4613,2026-07-01
Turkiet,Turkisk lira,TRY,0.2053,0.211,2026-07-01
Ungern,Ungersk forint,HUF,0.0308,0.0316,2026-07-01
USA,Amerikansk dollar,USD,9.6717,9.8147,2026-07-01
