pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.66350,6.75180,AUD,Australiensiska dollar,6.66350,6.75180,6.70765,11:59:59
BRL/SEK,BRL,SEK,1,1.8331,1.9339,BRL,Brasilianska real,1.8331,1.9339,1.8835,11:59:59
CAD/SEK,CAD,SEK,1,6.8007,6.8887,CAD,Kanadensiska dollar,6.8007,6.8887,6.8447,11:59:59
CHF/SEK,CHF,SEK,1,11.9667,12.1047,CHF,Schweiziska franc,11.9667,12.1047,12.0357,11:59:59
CNY/SEK,CNY,SEK,1,1.4206,1.4514,CNY,Kinesiska yuan,1.4206,1.4514,1.4360,11:59:59
CZK/SEK,CZK,SEK,1,0.45318,0.46248,CZK,Tjeckiska koruna,0.45318,0.46248,0.45783,11:59:59
DKK/SEK,DKK,SEK,1,1.4775,1.4941,DKK,Danska kronor,1.4775,1.4941,1.4858,11:59:59
EUR/SEK,EUR,SEK,1,11.0384,11.1720,EUR,Euro,11.0384,11.1720,11.1052,11:59:59
GBP/SEK,GBP,SEK,1,12.8240,12.9698,GBP,Pound sterling,12.8240,12.9698,12.8969,11:59:59
HKD/SEK,HKD,SEK,1,1.23030,1.25480,HKD,Hong Kong dollar,1.23030,1.25480,1.24255,11:59:59
HUF/SEK,HUF,SEK,1,0.0306910,0.0317200,HUF,Ungerska forint,0.0306910,0.0317200,0.0312055,11:59:59
ILS/SEK,ILS,SEK,1,3.1871,3.3457,ILS,Israelska new shekel,3.1871,3.3457,3.2664,11:59:59
INR/SEK,INR,SEK,1,0.09960,0.10626,INR,Indiska rupees,0.09960,0.10626,0.10293,11:59:59
JPY/SEK,JPY,SEK,1,0.059523,0.060553,JPY,Japanska yen,0.059523,0.060553,0.060038,11:59:59
NOK/SEK,NOK,SEK,1,0.97500,0.98970,NOK,Norska kronor,0.97500,0.98970,0.98235,11:59:59
NZD/SEK,NZD,SEK,1,5.46620,5.55430,NZD,Nya Zeeländska dollar,5.46620,5.55430,5.51025,11:59:59
PLN/SEK,PLN,SEK,1,2.55230,2.61400,PLN,Polska zloty,2.55230,2.61400,2.58315,11:59:59
SGD/SEK,SGD,SEK,1,7.48490,7.56820,SGD,Singapore dollar,7.48490,7.56820,7.52655,11:59:59
THB/SEK,THB,SEK,1,0.286700,0.299970,THB,Thailändska baht,0.286700,0.299970,0.293335,11:59:59
TRY/SEK,TRY,SEK,1,0.190770,0.226880,TRY,Turkiska lira,0.190770,0.226880,0.208825,11:59:59
USD/SEK,USD,SEK,1,9.67710,9.81060,USD,Amerikanska dollar,9.67710,9.81060,9.74385,11:59:59
ZAR/SEK,ZAR,SEK,1,0.585030,0.605420,ZAR,Sydafrikanska rand,0.585030,0.605420,0.595225,11:59:59
