pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.6008,2.6722,2.6722,2.6008,2026-07-27T10:16:17.629767Z,2026-07-27T10:16:17.629767Z
AUD/SEK,AUD,SEK,1,6.7143,6.8474,6.8474,6.7143,2026-07-27T10:16:17.623304Z,2026-07-27T10:16:17.623304Z
BDT/SEK,BDT,SEK,1,0.075796,0.080907,0.080907,0.075796,2026-07-27T10:16:17.623294Z,2026-07-27T10:16:17.623294Z
BHD/SEK,BHD,SEK,1,25.3301,26.0346,26.0346,25.3301,2026-07-27T10:16:17.630214Z,2026-07-27T10:16:17.630214Z
CAD/SEK,CAD,SEK,1,6.799,6.9338,6.9338,6.799,2026-07-27T10:16:17.629838Z,2026-07-27T10:16:17.629838Z
CHF/SEK,CHF,SEK,1,11.7685,12.0019,12.0019,11.7685,2026-07-27T10:16:17.623907Z,2026-07-27T10:16:17.623907Z
CNH/SEK,CNH,SEK,1,1.4116,1.4504,1.4504,1.4116,2026-07-27T10:16:17.639259Z,2026-07-27T10:16:17.639259Z
CNY/SEK,CNY,SEK,1,1.40193,1.45994,1.45994,1.40193,2026-07-27T10:16:17.631409Z,2026-07-27T10:16:17.631409Z
CZK/SEK,CZK,SEK,1,0.45223,0.46136,0.46136,0.45223,2026-07-27T10:16:17.624442Z,2026-07-27T10:16:17.624442Z
DKK/SEK,DKK,SEK,1,1.46187,1.49086,1.49086,1.46187,2026-07-27T10:16:17.634624Z,2026-07-27T10:16:17.634624Z
EGP/SEK,EGP,SEK,1,0.185,0.1968,0.1968,0.185,2026-07-27T10:16:17.624167Z,2026-07-27T10:16:17.624167Z
EUR/SEK,EUR,SEK,1,10.9264,11.143,11.143,10.9264,2026-07-27T10:03:29.511712Z,2026-07-27T10:03:29.511712Z
GBP/SEK,GBP,SEK,1,12.7834,13.0367,13.0367,12.7834,2026-07-27T10:16:17.632794Z,2026-07-27T10:16:17.632794Z
GIP/SEK,GIP,SEK,1,12.776073,13.044123,13.044123,12.776073,2026-07-27T10:16:17.676301Z,2026-07-27T10:16:17.676301Z
HKD/SEK,HKD,SEK,1,1.21816,1.25162,1.25162,1.21816,2026-07-27T10:16:17.623952Z,2026-07-27T10:16:17.623952Z
HUF/SEK,HUF,SEK,1,0.03038,0.030997,0.030997,0.03038,2026-07-27T10:16:17.624076Z,2026-07-27T10:16:17.624076Z
IDR/SEK,IDR,SEK,1,0.0005269,0.0005488,0.0005488,0.0005269,2026-07-27T10:16:17.637543Z,2026-07-27T10:16:17.637543Z
ILS/SEK,ILS,SEK,1,3.154,3.2418,3.2418,3.154,2026-07-27T10:16:17.627703Z,2026-07-27T10:16:17.627703Z
INR/SEK,INR,SEK,1,0.09895,0.10303,0.10303,0.09895,2026-07-27T10:16:17.639697Z,2026-07-27T10:16:17.639697Z
ISK/SEK,ISK,SEK,1,0.0757,0.0789,0.0789,0.0757,2026-07-27T10:16:17.624341Z,2026-07-27T10:16:17.624341Z
