pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.1011,11.1043,11.1027,926,EUR/SEK Spot,11.1027,11.1011,11.1043
USD/SEK,USD,SEK,1,9.7412,9.743,9.7421,150,USD/SEK Spot,9.7421,9.7412,9.743
GBP/SEK,GBP,SEK,1,12.8912,12.9012,12.8962,72825,GBP/SEK Spot,12.8962,12.8912,12.9012
JPY/SEK,JPY,SEK,1,5.999,6.009,6.004,117083,JPY/SEK Spot,6.004,5.999,6.009
CHF/SEK,CHF,SEK,1,12.0355,12.0455,12.0405,72829,CHF/SEK Spot,12.0405,12.0355,12.0455
NOK/SEK,NOK,SEK,1,0.982,0.983,0.9825,72828,NOK/SEK Spot,0.9825,0.982,0.983
DKK/SEK,DKK,SEK,1,1.4851,1.4861,1.4856,72826,DKK/SEK Spot,1.4856,1.4851,1.4861
CAD/SEK,CAD,SEK,1,6.8406,6.8506,6.8456,51623,CAD/SEK Spot,6.8456,6.8406,6.8506
AUD/SEK,AUD,SEK,1,6.7094,6.7104,6.7099,117438,AUD/SEK Spot,6.7099,6.7094,6.7104
NZD/SEK,NZD,SEK,1,5.5127,5.5137,5.5132,117521,NZD/SEK Spot,5.5132,5.5127,5.5137
